Item,cvar,2.0,1.0,davies2009/mirex_qm_tempotracker,sun2021/default,klapuri2006/percival2014,boeck2019/multi_task_hjdb,boeck2019/multi_task,boeck2020/dar,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,gkiokas2012/default,schreiber2017/mirex2017,schreiber2017/ismir2017,scheirer1998/percival2014,zplane/auftakt_v3,oliveira2010/ibt,boeck2015/tempodetector2016_default,echonest/version_3_2_1,schreiber2014/default
14970371.clip.jams,,64.0,60.0,129.199,128,127.604167,129.02,129.09,128.68,128,128,128,129.199,128.0,128.18196,128.18196,128.937,128.7,129.0,127.66,128.377,127.8271
15380591.clip.jams,,52.0,52.0,107.666,104,105.46875,105.34,105.37,105.56,105,105,105,105.2,105.0,105.03745,105.03745,106.788,105.0,105.0,105.26,105.249,105.11631
16040771.clip.jams,,67.0,67.0,135.999,132,132.512019,132.76,132.75,132.8,133,132,132,132.512,133.0,132.63737,132.63737,133.297,132.7,133.0,133.33,132.653,132.63737
1827589.clip.jams,,257.0,257.0,126.048,124,124.529367,124.01,123.79,124.2,124,124,124,124.155,124.0,124.00254,124.00254,99.916,124.0,123.0,125.0,124.027,124.00254
2214125.clip.jams,,51.0,51.0,103.359,100,101.332721,101.7,101.59,101.72,102,102,102,101.832,101.0,101.96203,203.92406,102.156,101.9,101.0,101.69,101.73,101.88317
2488794.clip.jams,,56.5,56.5,112.347,111,112.347147,111.96,112.18,111.88,112,112,112,112.043,112.0,111.97686,111.97686,111.631,111.9,112.0,111.11,111.814,111.97686
2532304.clip.jams,,52.0,52.0,105.469,104,103.359375,103.72,103.67,103.77,104,104,104,103.879,104.0,103.5786,103.5786,80.0456,103.7,101.0,103.45,103.676,103.61803
3030777.clip.jams,,255.0,255.0,132.512,128,130.834652,131.27,131.37,131.29,133,132,132,131.668,132.0,131.1391,131.1391,0.0,131.9,129.0,130.43,131.281,132.36137
3110842.clip.jams,,37.0,37.0,147.656,72,145.576585,73.21,73.19,73.38,73,146,73,73.0455,73.0,73.02153,73.02153,73.2519,73.0,144.0,146.34,72.493,72.98211
3124277.clip.jams,,191.5,191.5,95.7031,94,93.963068,93.86,94.01,94.16,94,94,94,93.9631,94.0,93.99748,93.99748,94.528,94.0,94.0,93.75,94.036,93.99748
3190992.clip.jams,,44.0,44.0,172.266,87,86.856618,87.16,87.1,87.05,87,87,88,84.7208,87.0,87.01865,87.01865,87.4695,86.8,88.0,86.96,87.017,87.01865
3243121.clip.jams,,62.0,62.0,129.199,124,126.048018,126.13,126.1,126.08,125,126,126,126.821,126.0,126.17111,126.17111,83.6753,126.2,126.0,125.0,125.239,126.17111
3253313.clip.jams,,54.0,54.0,109.957,108,107.666016,108.02,107.91,108.06,108,108,108,107.947,108.0,108.03401,108.03401,72.4442,108.2,108.0,107.14,107.85,108.03401
3282732.clip.jams,,50.0,50.0,101.333,200,101.332721,100.82,100.89,100.77,202,101,101,100.838,101.0,100.97632,100.97632,102.156,101.0,103.0,101.69,100.461,100.97632
3302806.clip.jams,,56.0,56.0,112.347,110,111.139113,110.78,110.91,110.86,111,111,111,110.841,111.0,110.99115,110.99115,0.0,111.0,110.0,111.11,111.155,110.95172
3314802.clip.jams,,51.0,51.0,103.359,102,102.336015,101.77,101.71,102.02,102,102,102,102.083,102.0,101.96203,101.96203,102.156,102.0,101.0,101.69,102.117,101.96203
3481732.clip.jams,,48.0,48.0,97.5088,96,96.597547,97.13,97.06,97.22,98,97,97,97.0511,97.0,97.112335,97.112335,97.7249,97.0,98.0,96.77,96.892,97.112335
3491765.clip.jams,,65.0,62.0,132.512,129,130.834652,130.2,130.34,130.16,130,130,130,130.012,130.0,130.19283,130.19283,130.374,130.3,129.0,130.43,130.266,130.19283
3534116.clip.jams,,56.0,56.0,117.454,114,114.84375,115.3,115.34,115.12,115,116,116,114.844,115.0,115.21,115.21,77.4271,115.3,115.0,115.38,114.943,115.21
3685320.clip.jams,,66.5,66.5,135.999,132,134.232955,133.46,133.44,133.34,133,133,133,133.367,133.0,133.3471,133.3471,134.783,133.4,133.0,133.33,133.445,133.3471
4132309.clip.jams,,40.0,40.0,83.3543,82,82.6875,83.1,83.11,82.83,83,83,83,82.6875,83.0,82.87865,82.87865,82.7527,82.9,83.0,83.33,80.028,82.87865
417180.clip.jams,,58.0,58.0,117.454,115,116.134129,115.75,115.84,115.41,116,116,116,115.809,116.0,116.15628,116.15628,116.692,115.5,115.0,115.38,116.134,116.11685
4309440.clip.jams,,50.0,50.0,101.333,99,100.348908,100.02,100.06,100.16,100,100,100,99.8641,100.0,99.99061,99.99061,150.586,100.0,99.0,100.0,99.906,99.99061
4320656.clip.jams,,56.0,56.0,117.454,114,114.84375,114.99,115.02,114.94,115,115,115,115.164,115.0,114.97343,114.97343,115.406,115.1,115.0,115.38,114.893,114.97343
4326130.clip.jams,,53.5,53.5,166.709,84,109.956782,84.4,84.66,85.17,84,84,107,84.7208,105.0,102.39574,102.39574,88.4446,82.7,110.0,166.67,45.914,107.16659
4349677.clip.jams,,48.0,48.0,97.5088,96,95.703125,96.12,96.06,96.34,96,96,96,96.1483,96.0,96.12662,96.12662,96.6474,96.2,96.0,96.77,96.13,96.12662
458707.clip.jams,,71.0,71.0,107.666,105,105.46875,106.21,106.14,105.78,106,106,106,105.469,106.0,105.74716,105.74716,84.6081,105.7,105.0,214.29,105.766,105.74716
497121.clip.jams,,48.0,48.0,95.7031,94,94.825115,94.97,95.11,95.28,95,95,95,94.8251,95.0,94.983185,94.983185,63.4199,95.1,96.0,95.24,94.958,94.983185
558885.clip.jams,,61.0,61.0,126.048,121,123.046875,122.41,122.43,122.79,121,121,121,123.414,124.0,121.7157,121.7157,121.984,122.9,123.0,122.45,123.154,122.46483
5614775.clip.jams,,58.0,60.0,117.454,114,114.84375,114.96,114.99,114.96,115,115,115,115.164,115.0,115.01285,115.01285,115.406,115.0,115.0,115.38,115.013,115.01285
5840262.clip.jams,,46.0,46.0,139.675,135,135.999178,136.54,136.42,136.29,68,90,91,137.812,136.0,136.34366,136.34366,91.4357,68.1,136.0,136.36,132.96,68.17183
601609.clip.jams,,45.0,45.0,132.512,87,130.834652,88.07,88.07,133.12,43,67,88,88.3413,132.0,65.806114,131.61223,62.0292,130.2,110.0,133.33,65.518,65.727264
6018930.clip.jams,,54.0,54.0,123.047,80,147.65625,81.41,81.35,81.0,81,81,81,78.3026,81.0,81.06494,81.06494,87.4695,80.7,126.0,162.16,66.44,81.06494
6367151.clip.jams,,58.0,58.0,112.347,111,112.347147,111.76,111.86,111.96,112,112,112,112.043,112.0,111.93744,111.93744,0.0,112.0,112.0,111.11,112.057,111.93744
6544872.clip.jams,,64.0,67.0,132.512,128,129.199219,129.66,129.44,128.98,131,128,128,129.199,129.0,130.62653,130.62653,128.937,129.4,129.0,130.43,129.978,129.95624
8834868.clip.jams,,46.0,46.0,67.9996,67,135.999178,135.5,135.59,67.85,68,68,135,135.553,135.0,67.73811,67.73811,67.7821,135.4,136.0,67.42,67.687,67.71841
