Item,cvar,2.0,1.0,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
CliffordBrown_I'llRememberApril_Solo.jams,0.030324446825148673,284.6308995562717,285.825321914378,143.555,143,143,144,71.529,72.03582,72.03582,142.86,141.98193
ColemanHawkins_Stompin'AtTheSavoy_Solo.jams,0.02050200979394958,250.33408629430835,250.62159915572255,126.048,124,125,125,126.821,124.83055,124.83055,125.0,126.17111
DavidLiebman_Day&Nite_Solo.jams,0.028269270280322153,245.2952628163498,245.55573437647797,123.047,121,121,121,122.319,120.76942,120.76942,122.45,122.46483
DavidLiebman_I'veGotYouUnderMySkin_Solo.jams,0.02292735801178059,256.61603380382576,256.48326334924246,129.199,128,128,130,127.604,127.6694,127.6694,127.66,124.83055
DavidLiebman_NoGreaterLove_Solo.jams,0.02667788735889424,209.26818442790102,209.35043858667586,109.957,104,104,107,104.933,103.026596,103.026596,105.26,103.066025
DavidLiebman_Pendulum_Solo.jams,0.039771890809786214,259.83208381352284,259.49959919588184,132.512,133,133,130,130.012,132.04594,132.04594,130.43,122.504265
DavidLiebman_SecretLove_Solo.jams,0.03122352959380141,272.9699408554826,273.1759483175137,139.675,139,135,135,67.5551,69.7884,69.7884,136.36,133.03168
DavidLiebman_SoftlyAsInAMorningSunrise_Solo.jams,0.028020525869148893,261.15922718188386,261.44149253902555,132.512,128,130,130,130.012,130.74481,130.74481,130.43,127.59054
DavidMurray_BluesForTwo-1_Solo.jams,0.04326555669667589,60.60085545202551,60.61546668462819,151.999,87,87,184,91.4685,92.57806,92.57806,181.82,91.51348
DavidMurray_BluesForTwo-2_Solo.jams,0.0630717702203831,63.53589501929967,62.074599214473174,132.512,97,96,97,117.454,96.95462,96.95462,193.55,96.875755
DexterGordon_Cheesecake_Solo.jams,0.020807366361965278,220.83815960786092,221.3320627414509,112.347,111,110,110,110.545,109.532295,109.532295,111.11,109.29572
DickieWells_DestinationK.C._Solo.jams,0.01463120693465123,249.16427327086964,249.41080241684517,126.048,124,125,124,124.529,124.51512,124.51512,125.0,124.6334
DickieWells_IGotRhythm_Solo.jams,0.013783032176256708,242.96544580313787,243.52324782736937,123.047,122,123,121,121.599,121.67627,121.67627,122.45,121.4397
DizzyGillespie_Anthropology_Solo.jams,0.01535339195487102,245.50578751814504,246.02192816402732,123.047,123,123,123,122.319,122.819695,122.819695,122.45,122.97741
DizzyGillespie_Be=Bop_Solo.jams,0.021514707452055463,290.7892552900835,290.5724856958787,139.675,73,146,145,146.609,72.5681,72.5681,146.34,73.37638
DonByas_Be=Bop_Solo.jams,0.02660174630421788,288.347197425266,289.15493840188657,147.656,73,144,145,72.5329,72.29211,72.29211,142.86,71.87811
DonEllis_YouSteppedOutOfADream-1_Solo.jams,0.037597834001588414,199.04278061521546,199.95350995339453,101.333,100,99,101,98.9085,99.59632,99.59632,98.36,99.754036
FatsNavarro_Anthropology_No1_Solo.jams,0.022179711704525196,301.11384072246733,300.9982403101862,101.333,75,151,151,149.796,75.66324,75.66324,150.0,147.65962
GerryMulligan_ScrappleFromTheApple_Solo.jams,0.022452986220112298,252.02400228593243,252.42807894367505,129.199,128,128,126,126.048,128.14253,128.14253,125.0,123.09569
GerryMulligan_ThisCan'tBeLove_Solo.jams,0.016390404061531808,269.87607731143976,269.406199968076,135.999,135,134,135,134.67,134.56937,134.56937,133.33,133.11052
HerbieHancock_Agitation_Solo.jams,0.029733473858409114,294.638394351829,294.25480681341224,147.656,149,146,148,74.3593,146.94992,73.47496,146.34,100.779175
HerbieHancock_Dolores_Solo.jams,0.024779996792062702,281.3584107617138,282.6902128710787,143.555,140,141,142,141.105,141.54822,141.54822,139.53,141.31165
HerbieHancock_GingerbreadBoy_Solo.jams,0.021216721437157714,286.2010221988264,286.0070881824272,143.555,143,144,144,143.555,143.67735,143.67735,142.86,142.29735
HerbieHancock_HandJive_Solo.jams,0.02009451030713811,262.4121428254797,262.2321076776209,132.512,132,132,130,130.835,132.47968,132.47968,130.43,130.38997
HerbieHancock_Orbits_Solo.jams,0.02539334496300954,265.7293499038816,265.33693754266284,135.999,132,132,132,132.512,133.14995,133.14995,133.33,132.87395
JJJohnson_BluesInTheCloset_Solo.jams,0.022958859748705623,234.61606667849145,234.8127242148622,120.185,118,120,118,116.79,119.07399,119.07399,117.65,113.63286
JJJohnson_CrazyRhythm_Solo.jams,0.022203425288065133,277.7150953792864,277.6187823818563,139.675,139,140,139,138.737,139.61621,139.61621,139.53,134.96367
JJJohnson_Teapot_Solo.jams,0.023925836800745684,315.15946014804774,315.58279285995195,161.499,157,157,157,78.9003,78.08809,78.08809,157.89,79.46809
JoeHenderson_In'NOut-1_Solo.jams,0.030803333950528075,277.7296701566575,277.5156813906924,139.675,139,138,135,139.675,139.97108,69.98554,139.53,135.35794
JoeHenderson_In'NOut-2_Solo.jams,0.026397060296906104,299.4991369308682,300.1291099316611,101.333,74,192,200,74.6277,74.14524,74.14524,150.0,149.43391
JoeHenderson_JohnnyComeLately_Solo.jams,0.02555162160227792,248.1187178051667,248.36641391449692,126.048,124,123,124,124.155,124.67282,124.67282,125.0,122.819695
JoeLovano_LittleWillieLeapsIn_Solo.jams,0.024628644340373325,303.87160684403074,304.11656651951694,156.605,75,151,151,151.999,75.82095,75.82095,150.0,148.96075
JohnAbercrombie_Ralph'sPianoWaltz_Solo.jams,0.03473029494273316,197.25169594712088,196.91764303346113,135.999,135,130,135,65.834,99.91175,99.91175,65.93,64.22898
JohnColtrane_Countdown_Solo.jams,0.03572667777452605,339.2117446950008,338.41527426882095,172.266,174,172,172,86.1328,86.34836,86.34836,171.43,85.40207
JohnColtrane_GiantSteps-1_Solo.jams,0.026517397908974834,290.38829558746215,290.7316076714456,147.656,146,146,145,72.5329,145.88535,72.94267,146.34,145.84592
JohnColtrane_GiantSteps-2_Solo.jams,0.03127165394554603,300.4001930008793,299.7055719947147,151.999,75,149,148,148.719,74.32267,74.32267,150.0,74.32267
JohnColtrane_Impressions_1961_Solo.jams,0.03895572786554407,295.2342432128431,294.3193869612084,147.656,147,146,200,73.5654,91.78948,91.78948,146.34,134.33281
JohnColtrane_Impressions_1963_Solo.jams,0.027964377802691388,278.88225761827454,279.0467265449972,143.555,138,139,135,92.699,88.67463,88.67463,92.31,136.8168
JohnColtrane_Mr.P.C._Solo.jams,0.021580216109974338,257.9858914632349,258.66741844070395,132.512,130,130,130,129.199,128.89168,128.89168,130.43,129.71967
JohnColtrane_MyFavoriteThings-1_Solo.jams,0.029737731086617605,179.4263239981014,179.64710633518507,90.6661,90,90,90,89.4886,89.4632,89.4632,89.55,88.31978
JohnColtrane_MyFavoriteThings-2_Solo.jams,0.029962847589061446,178.5987490437835,179.3072347491835,90.6661,90,90,90,89.1029,88.59578,88.59578,89.55,88.55635
JohnColtrane_Oleo_Solo.jams,0.019883046129607035,265.79274498483755,266.5736932114779,135.999,133,133,135,66.4691,132.47968,132.47968,133.33,132.59796
JohnnyDodds_MyHeart_Solo.jams,0.017581810286368554,191.85034802784236,192.44251966106214,97.5088,96,96,96,95.7031,95.890045,95.890045,96.77,95.929474
JoshuaRedman_SweetSorrow_Solo.jams,0.02689749377327397,52.95786487338438,53.106991414508514,161.499,81,81,77,79.5072,81.02551,81.02551,157.89,79.11323
KennyDorham_In'NOut_Solo.jams,0.02242405279083709,294.38433510416445,294.4340889082918,151.999,74,146,148,74.0927,74.086105,74.086105,146.34,73.6721
KidOry_Who'sit_Solo.jams,0.01679583103936592,211.83675920181005,211.92453489489998,107.666,106,106,106,106.01,105.82602,105.82602,105.26,105.82602
LeeKonitz_Crosscurrent_Solo.jams,0.019026783429145266,256.5320665083134,256.2849001135329,129.199,128,128,128,63.8021,127.98483,127.98483,127.66,128.53682
LeeKonitz_Marshmallow_Solo.jams,0.01807580593550069,298.1702426689957,298.78056344756016,147.656,75,150,148,147.656,74.71696,74.71696,150.0,74.440956
LeeKonitz_Tautology_Solo.jams,0.0175354574484474,265.787742740217,265.9627326082895,132.512,133,133,133,132.512,66.53555,133.0711,133.33,132.40082
LeeMorgan_JustOneOfThoseThings_Solo.jams,0.02173002678464648,318.22965212423685,319.02295463883087,161.499,159,162,161,79.5072,79.054085,79.054085,157.89,78.699234
LesterYoung_DestinationK.C._Solo.jams,0.022735023144814216,245.36350161554466,246.43187610988505,123.047,123,123,123,122.319,121.87341,121.87341,122.45,121.9917
LesterYoung_LesterLeapsIn_Solo.jams,0.028530093532827264,250.5177707388471,251.817108265686,129.199,123,125,125,124.529,62.277275,124.55455,125.0,125.26425
LionelHampton_Avalon_Solo.jams,0.020794808032718184,241.66590669608894,241.2973873829881,123.047,120,120,120,120.185,120.45399,120.45399,120.0,60.16785
LionelHampton_Runnin'Wild_Solo.jams,0.01629456984792472,281.12862010082216,281.32892214594466,143.555,140,140,140,140.625,140.32594,140.32594,139.53,70.16297
MichaelBrecker_CabinFever_Solo.jams,0.025231878950999567,300.2595781500452,300.27579700368574,151.999,151,151,151,149.796,75.328094,75.328094,150.0,148.36934
MichaelBrecker_Confirmation_Solo.jams,0.031422994023212227,208.95109964924262,209.175896030054,109.957,104,138,101,69.3687,102.94775,102.94775,103.45,100.85803
MichaelBrecker_DeltaCityBlues_Solo.jams,0.029497971702926964,281.28737342865537,282.2041251041936,143.555,138,138,138,141.105,70.93182,70.93182,139.53,68.960396
MichaelBrecker_NothingPersonal_Solo.jams,0.02221891272652483,244.52455141775243,244.05848367030663,123.047,121,121,121,121.599,121.63683,121.63683,122.45,120.09914
MichaelBrecker_Peep_Solo.jams,0.03073005774326869,320.0145137880992,320.33909438952776,156.605,78,162,163,80.1235,98.88661,98.88661,157.89,77.24038
MichaelBrecker_SongForBilbao_Solo.jams,0.015026109957975826,183.92322638933254,184.1535581279314,93.9631,92,92,92,92.2852,91.907776,91.907776,92.31,92.14433
MilesDavis_Agitation_Solo.jams,0.15573112076967507,274.4297299911877,264.34558551692925,139.675,135,135,135,138.737,134.84538,134.84538,136.36,134.49052
MilesDavis_Airegin_Solo.jams,0.025473751381367066,241.6162543559612,241.9857404029165,123.047,121,121,121,120.888,121.04542,121.04542,120.0,119.42884
MilesDavis_Dolores_Solo.jams,0.017183371661066267,274.766355140185,274.908911214168,139.675,138,137,138,137.812,137.21109,137.21109,136.36,137.84193
MilesDavis_E.S.P._Solo.jams,0.023924749296316095,291.0931118965185,291.7766917011783,147.656,73,146,145,72.5329,73.179245,73.179245,146.34,71.38525
MilesDavis_Oleo-1_Solo.jams,0.02604563206533561,272.0053457117639,271.7875354483685,135.999,135,136,136,66.8993,135.94937,135.94937,136.36,67.521255
MilesDavis_Oleo-2_Solo.jams,0.023164774466708456,267.9459754103316,268.61156734249266,135.999,133,134,135,133.367,133.46538,133.46538,133.33,133.38652
MilesDavis_Orbits_Solo.jams,0.02412229092866032,265.1269408326193,264.85810732200275,132.512,133,132,132,132.512,131.80939,131.80939,133.33,133.46538
MilesDavis_TuneUp_Solo.jams,0.025471130087472576,281.5211828916873,281.87046030842714,139.675,143,143,135,139.675,139.06422,69.53211,139.53,71.22753
NatAdderley_BohemiaAfterDark_Solo.jams,0.021886363082781628,295.58673232085897,295.6912040235675,198.768,148,146,146,98.9085,148.32991,74.164955,146.34,72.96239
OrnetteColeman_BirdFood_Solo.jams,0.0477581810084769,259.310074480593,256.3750517338576,129.199,128,128,128,128.397,127.94539,127.94539,127.66,128.45796
OrnetteColeman_Chronology_Solo.jams,0.04127454390675801,236.8633067764739,236.37296039453744,120.185,118,118,118,118.125,119.11341,119.11341,117.65,115.32828
PatMetheny_AllTheThingsYouAre_Solo.jams,0.023018629871299726,307.5246792630335,307.1285362777162,156.605,153,153,155,77.1339,77.220665,77.220665,153.85,74.10582
PatMetheny_CabinFever_Solo.jams,0.05743278949398012,305.9445868228661,309.52931556897073,156.605,151,148,151,153.125,77.299515,77.299515,153.85,75.40695
PatMetheny_NothingPersonal_Solo.jams,0.023453521527219856,242.24391475197834,242.41527305255056,123.047,121,121,121,120.888,122.54369,122.54369,120.0,120.21741
PaulDesmond_Alianca-1_Solo.jams,0.026943211625475035,232.40086074392877,233.357561207959,117.454,116,116,116,116.134,116.47171,116.47171,115.38,116.58999
PaulDesmond_Alianca-2_Solo.jams,0.025349533071547786,235.4616240266957,236.49302169618193,120.185,118,118,118,118.125,117.693985,117.693985,117.65,117.615135
PaulDesmond_BossaAntigua_Solo.jams,0.03479871432414336,191.95299301411805,192.36118631337482,97.5088,95,96,98,96.1483,94.904335,94.904335,96.77,94.86491
PepperAdams_JustOneOfThoseThings_Solo.jams,0.021181804135165565,313.99074431336965,314.25050361266733,161.499,157,158,157,78.6003,78.245804,78.245804,157.89,77.87124
PhilWoods_OnASlowBoatToChina_Solo.jams,0.01811237845782472,242.85394754020092,242.7609842916892,123.047,122,121,121,121.599,121.67627,121.67627,122.45,121.75513
RedGarland_Oleo_Solo.jams,0.01624865890182002,264.9941788825546,265.01219578350236,132.512,132,132,132,66.0443,130.98138,130.98138,133.33,133.3471
RoyEldridge_St.LouisBlues_Solo.jams,0.02839328237344443,360.82846292577744,361.8352952880925,184.57,90,90,90,89.1029,180.10927,90.054634,181.82,90.13349
RoyEldridge_TheGasser-1_Solo.jams,0.020818338387962473,232.33199067675702,231.60468563503673,117.454,116,116,116,116.134,115.60428,115.60428,115.38,114.81571
RoyEldridge_TheGasser-2_Solo.jams,0.01961014500882613,236.99059561128527,237.99904255384712,120.185,118,119,120,118.804,118.48256,118.48256,117.65,119.7837
RoyEldridge_Undecided_Solo.jams,0.020102782194261537,243.57351634192042,244.12535345944966,123.047,121,123,123,122.319,120.29627,120.29627,122.45,122.97741
SidneyBechet_LimehouseBlues_Solo.jams,0.017706512790399156,274.037154921726,274.05279862566795,139.675,137,138,137,137.812,137.05338,137.05338,136.36,137.05338
SonnyRollins_Airegin_Solo.jams,0.017000057878106437,242.5131177966684,242.96076958410407,123.047,121,121,121,121.599,121.12427,121.12427,120.0,120.96655
SonnyRollins_I'llRememberApril_Solo.jams,0.02769896425057215,294.7532665564347,294.4130381466068,147.656,73,146,146,144.559,73.041245,73.041245,146.34,144.07164
SonnyRollins_St.Thomas-2_Solo.jams,0.02396815432116488,224.27054859830935,224.56929561934712,114.844,114,110,110,112.347,113.23857,113.23857,111.11,113.041435
StanGetz_BluesInTheCloset_Solo.jams,0.019204471327181803,242.86927189701439,242.84246900469782,123.047,121,121,120,120.888,120.49341,120.49341,120.0,119.15285
StanGetz_CrazyRhythm_Solo.jams,0.023468460225604868,287.78073848495984,288.52132508305823,147.656,146,146,144,72.0274,72.016106,72.016106,142.86,141.74536
SteveColeman_Segment_Solo.jams,0.021074724843981808,240.21788470267742,240.40546024846313,123.047,120,120,120,120.185,119.507706,119.507706,120.0,121.51855
SteveLacy_Skippy_Solo.jams,0.02403066572224611,266.7977498692517,267.3040297611098,135.999,133,132,135,66.6835,133.7808,133.7808,133.33,132.9528
SteveTurre_IfIWereABell_Solo.jams,0.023933603154319992,257.13036295612477,257.78245438653954,129.199,129,129,128,128.797,128.6551,128.6551,127.66,128.61569
WarneMarsh_Crosscurrent_Solo.jams,0.020702926963023466,258.56572712035313,258.58375089471394,132.512,65,128,130,64.3984,129.24654,129.24654,130.43,129.00996
WarneMarsh_Tautology_Solo.jams,0.015860189936039902,269.69900060668795,270.0412652858231,135.999,133,134,135,134.233,67.4424,67.4424,136.36,134.68767
WayneShorter_Dolores_Solo.jams,0.021967564597003955,277.6859504132233,277.965437536503,139.675,138,138,139,138.737,138.59108,69.29554,139.53,138.70938
WayneShorter_E.S.P._Solo.jams,0.02226515695083121,283.34694210439045,284.8827175668037,143.555,143,143,142,141.588,71.4641,71.4641,142.86,141.27222
WayneShorter_Orbits_Solo.jams,0.024138158634057973,265.82946125832035,267.51828594220905,135.999,133,132,133,133.367,132.40082,132.40082,133.33,132.36137
WoodyShaw_IfIWereABell_Solo.jams,0.025542989381734917,253.12096427033947,252.90653233151798,129.199,129,129,128,127.212,125.85568,125.85568,127.66,126.21054
WoodyShaw_Imagination_Solo.jams,0.024622297935848567,60.144223400598314,60.19051194673098,120.185,116,117,120,120.888,122.70141,122.70141,120.0,117.06313
WoodyShaw_Rahsaan'sRun_Solo.jams,0.03226388014732989,298.6898472190868,298.33340855093405,151.999,150,151,151,149.796,75.93924,75.93924,150.0,73.534096
WoodyShaw_SteppingStone-1_Solo.jams,0.023914362796689754,266.86166081792527,266.502777957457,135.999,133,132,130,132.512,133.54424,133.54424,133.33,133.46538
WyntonMarsalis_CherokeeII_Solo.jams,0.02500396761603337,340.3051307692268,340.74675343985905,114.844,114,168,170,85.421,84.77122,84.77122,171.43,85.04721
WyntonMarsalis_Cherokee_Solo.jams,0.03050059596844913,338.1874825474388,338.60215976010653,114.844,84,166,166,85.0694,84.69236,84.69236,166.67,83.864365
WyntonMarsalis_JohnnyComeLately_Solo.jams,0.018447481858348144,245.60833546051626,245.84574744354137,126.048,123,123,123,123.047,122.78026,122.78026,122.45,122.504265
