Item,cvar,schreiber2018/ismir2018,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
009/009678.jams,,80,172.266,148,123,143.555,61.508415,61.508415,139.53,122.70141
009/009918.jams,,144,172.266,87,162,89.1029,118.916275,118.916275,171.43,164.6533
010/010376.jams,,84,103.359,115,116,117.454,119.941414,119.941414,115.38,119.98084
010/010438.jams,,128,156.605,116,232,116.79,58.35414,87.53121,120.0,101.33118
010/010541.jams,,96,126.048,116,107,121.599,103.8546,103.8546,127.66,123.25341
011/011234.jams,,80,123.047,148,84,76.5625,32.646774,48.97016,230.77,149.98592
011/011237.jams,,146,117.454,74,94,67.9996,100.62146,100.62146,157.89,106.969444
011/011239.jams,,123,161.499,118,78,93.9631,23.893654,47.787308,214.29,77.26009
011/011671.jams,,188,129.199,63,125,125.284,94.07633,94.07633,125.0,125.382545
011/011672.jams,,84,143.555,104,107,73.0455,73.96781,73.96781,193.55,133.5048
012/012051.jams,,87,151.999,116,121,97.5088,29.334784,58.669567,117.65,63.06584
012/012058.jams,,186,93.9631,91,93,92.2852,92.18377,92.18377,92.31,92.26263
012/012353.jams,,119,129.199,101,63,131.668,63.0067,63.0067,125.0,125.69797
012/012986.jams,,121,83.3543,82,82,81.3853,81.45922,81.45922,81.08,81.45922
013/013537.jams,,152,103.359,76,76,50.6664,75.958954,75.958954,75.95,75.958954
013/013710.jams,,135,95.7031,189,187,93.9631,94.19462,94.19462,187.5,94.23405
014/014315.jams,,94,129.199,63,125,62.2647,125.61911,125.61911,63.83,125.57968
014/014316.jams,,81,112.347,74,108,112.961,66.59469,133.18938,157.89,133.93852
014/014539.jams,,121,126.048,112,184,94.8251,95.9689,95.9689,95.24,95.9689
014/014541.jams,,167,84.7208,84,83,83.3543,83.39122,83.39122,83.33,83.39122
014/014601.jams,,84,103.359,116,108,60.979,70.41925,70.41925,133.33,88.00435
015/015487.jams,,143,109.957,108,216,108.23,108.90144,108.90144,109.09,108.90144
017/017607.jams,,77,156.605,97,94,72.2793,41.912468,62.868702,59.41,83.66722
017/017608.jams,,80,206.719,74,94,143.555,62.375843,62.375843,157.89,124.98825
018/018032.jams,,162,83.3543,82,82,82.0312,81.38037,81.38037,82.19,81.38037
018/018044.jams,,77,132.512,108,108,83.0196,62.494125,62.494125,127.66,98.7289
018/018876.jams,,96,139.675,116,88,84.032,79.80323,79.80323,84.51,84.574066
019/019192.jams,,96,135.999,123,162,77.7138,89.81806,89.81806,193.55,89.81806
019/019422.jams,,77,117.454,87,84,89.8777,42.30675,63.460125,68.97,85.32321
020/020375.jams,,80,107.666,116,216,112.347,131.1391,131.1391,240.0,133.8991
021/021842.jams,,80,107.666,150,87,93.9631,57.013573,114.027145,120.0,115.91971
024/024515.jams,,87,191.406,67,108,97.5088,105.7866,105.7866,142.86,52.91301
024/024524.jams,,96,90.6661,87,84,70.3125,48.102737,48.102737,193.55,89.34492
024/024899.jams,,96,132.512,148,130,61.8918,41.478752,41.478752,193.55,165.91501
024/024917.jams,,132,120.185,121,121,117.454,50.86273,101.72546,117.65,101.72546
025/025227.jams,,143,135.999,116,181,89.4886,45.500458,91.000916,45.45,84.219215
026/026026.jams,,120,161.499,160,159,80.1235,80.0398,80.0398,157.89,79.94123
026/026600.jams,,73,161.499,77,135,59.2317,124.6334,124.6334,181.82,124.6334
026/026765.jams,,77,103.359,52,52,105.469,104.09117,104.09117,105.26,52.045586
026/026902.jams,,205,93.9631,140,186,93.5379,93.76091,93.76091,187.5,93.76091
027/027953.jams,,77,123.047,116,116,132.512,73.494675,73.494675,117.65,87.09749
029/029180.jams,,67,123.047,58,77,82.6875,47.393024,47.393024,60.0,75.93924
030/030636.jams,,74,123.047,116,108,98.4375,47.787308,95.574615,105.26,104.87974
030/030690.jams,,96,139.675,150,87,103.359,40.0199,80.0398,50.0,79.88209
031/031889.jams,,151,117.454,113,116,115.485,90.370056,90.370056,230.77,110.0843
034/034510.jams,,96,107.666,116,108,108.799,48.339306,48.339306,214.29,69.07868
035/035734.jams,,73,114.844,121,107,67.5551,67.89583,67.89583,67.42,67.95497
036/036257.jams,,96,178.206,131,87,88.3413,121.00598,121.00598,181.82,65.25413
037/037041.jams,,121,178.206,73,84,87.5927,42.661606,85.32321,153.85,85.32321
037/037119.jams,,96,143.555,140,87,74.3593,42.661606,85.32321,136.36,115.13114
037/037538.jams,,90,172.266,112,180,108.799,78.344376,78.344376,214.29,78.30495
038/038361.jams,,96,112.347,116,108,136.9,58.748425,58.748425,101.69,158.06874
038/038887.jams,,134,67.1165,117,117,66.6835,116.629425,116.629425,230.77,116.629425
038/038892.jams,,134,90.6661,123,90,89.8777,90.015205,90.015205,45.11,123.765976
038/038904.jams,,136,92.2852,148,157,78.0071,77.358665,77.358665,200.0,154.44133
038/038967.jams,,151,105.469,75,77,77.7138,79.74409,79.74409,166.67,79.783516
039/039317.jams,,80,156.605,87,161,86.1328,144.78136,72.39068,171.43,72.39068
039/039667.jams,,77,166.709,84,85,82.1168,86.5455,86.5455,83.33,83.7855
040/040182.jams,,163,109.957,54,109,108.799,54.569008,109.138016,109.09,109.216866
040/040230.jams,,146,73.8281,73,73,73.3045,73.2581,73.2581,73.17,73.2581
040/040234.jams,,94,129.199,123,87,124.529,40.76904,81.53808,181.82,62.5927
040/040509.jams,,80,117.454,148,108,97.5088,108.9803,108.9803,157.89,165.91501
040/040598.jams,,121,147.656,116,167,84.7208,57.56557,115.13114,166.67,115.44656
040/040655.jams,,96,109.957,116,84,91.4685,45.579315,91.15863,230.77,80.90723
040/040725.jams,,74,132.512,116,87,116.79,45.263885,90.52777,120.0,123.09569
041/041191.jams,,106,156.605,78,160,75.9995,78.58094,78.58094,157.89,78.58094
041/041310.jams,,106,114.844,112,112,111.74,131.09967,131.09967,230.77,127.8271
041/041714.jams,,121,166.709,87,81,58.2902,153.96819,76.98409,162.16,89.26606
042/042119.jams,,73,126.048,121,107,52.8692,53.74101,107.48202,146.34,120.84827
042/042659.jams,,88,147.656,74,146,75.4448,74.204384,74.204384,146.34,74.204384
042/042966.jams,,120,132.512,133,151,85.0694,136.14651,136.14651,136.36,136.18594
043/043016.jams,,96,117.454,107,88,67.5551,79.09351,79.09351,176.47,79.09351
043/043029.jams,,80,215.332,232,107,56.0213,151.28705,75.643524,113.21,75.62381
043/043594.jams,,96,126.048,116,101,81.3853,25.234222,50.468445,142.86,86.97921
043/043886.jams,,120,151.999,149,161,135.542,41.478752,82.957504,200.0,165.91501
043/043911.jams,,92,83.3543,82,165,81.0662,81.932365,81.932365,61.22,102.43517
044/044342.jams,,96,135.999,116,87,145.577,65.05698,65.05698,65.22,130.42938
044/044347.jams,,120,151.999,148,87,85.421,80.27637,80.27637,171.43,82.957504
044/044354.jams,,177,89.1029,118,118,58.8942,58.827282,58.827282,58.82,117.654564
045/045390.jams,,96,103.359,150,87,91.4685,91.15863,91.15863,176.47,113.08086
046/046711.jams,,77,184.57,148,108,89.1029,120.572266,120.572266,222.22,90.52777
046/046854.jams,,103,156.605,52,52,77.4228,77.476944,77.476944,153.85,77.476944
047/047826.jams,,84,114.844,116,90,77.4228,76.53066,76.53066,77.92,77.220665
047/047895.jams,,78,156.605,156,156,156.014,156.01846,156.01846,153.85,156.01846
048/048042.jams,,77,135.999,65,101,104.933,47.70845,95.4169,136.36,97.861465
048/048269.jams,,120,95.7031,90,90,60.6213,75.1901,75.1901,133.33,150.3802
048/048307.jams,,138,90.6661,128,87,63.8021,63.755836,63.755836,127.66,127.59054
048/048456.jams,,88,99.384,100,100,99.384,99.43861,99.43861,200.0,99.43861
048/048863.jams,,132,89.1029,85,88,86.4932,126.60483,126.60483,86.96,126.52596
048/048864.jams,,151,114.844,97,84,93.1166,40.76904,61.153557,171.43,85.559784
049/049039.jams,,120,129.199,128,125,129.199,43.29246,64.93869,240.0,69.49268
049/049064.jams,,216,132.512,140,161,68.9062,140.75964,140.75964,193.55,158.77846
049/049067.jams,,121,135.999,148,162,82.6875,83.943214,83.943214,222.22,167.88643
049/049071.jams,,119,172.266,87,87,89.8777,43.60789,43.60789,187.5,87.21578
049/049072.jams,,121,147.656,148,131,96.5975,73.02153,73.02153,214.29,72.78496
049/049394.jams,,107,139.675,232,216,74.8981,73.888954,73.888954,230.77,73.888954
049/049408.jams,,96,117.454,133,133,73.3045,66.63412,66.63412,65.93,132.9528
050/050449.jams,,84,156.605,116,90,149.796,48.02388,96.04776,142.86,108.152306
050/050955.jams,,70,151.999,116,87,132.353,64.426125,64.426125,136.36,75.34782
051/051115.jams,,96,107.666,108,216,106.556,79.86237,79.86237,157.89,159.76418
051/051158.jams,,80,101.333,116,89,131.668,42.34618,84.69236,187.5,125.61911
051/051301.jams,,77,139.675,57,112,103.359,56.934715,56.934715,101.69,113.86943
052/052045.jams,,146,178.206,97,96,86.8566,90.685486,90.685486,166.67,83.31236
052/052121.jams,,77,135.999,121,116,148.719,134.96367,67.481834,230.77,134.96367
052/052126.jams,,107,92.2852,116,87,93.5379,22.94737,45.89474,171.43,81.45922
052/052389.jams,,77,172.266,112,200,89.8777,107.48202,107.48202,193.55,107.560875
052/052449.jams,,100,135.999,133,67,66.8993,66.83127,66.83127,66.67,66.83127
052/052861.jams,,120,129.199,87,132,88.3413,45.73703,91.47406,230.77,85.95407
054/054033.jams,,144,95.7031,48,95,95.2621,95.49576,95.49576,47.62,119.271126
054/054064.jams,,108,129.199,121,122,120.888,120.96655,120.96655,206.9,122.10998
054/054664.jams,,121,172.266,73,84,145.577,145.56992,72.78496,146.34,72.78496
055/055186.jams,,121,103.359,132,132,59.9185,149.55219,149.55219,206.9,149.59161
055/055710.jams,,77,172.266,87,84,142.565,85.48093,85.48093,171.43,85.441505
055/055833.jams,,177,89.1029,88,88,88.3413,88.438065,88.438065,88.24,88.438065
056/056466.jams,,162,139.675,97,192,74.8981,112.765434,112.765434,75.95,112.21343
056/056470.jams,,100,135.999,121,129,83.3543,81.41979,81.41979,157.89,106.338585
056/056559.jams,,204,103.359,102,102,101.832,102.040886,102.040886,101.69,102.040886
057/057272.jams,,71,97.5088,60,94,93.5379,46.44674,92.89348,96.77,93.05119
057/057273.jams,,138,95.7031,121,116,82.3581,156.53104,78.26552,193.55,120.05969
057/057371.jams,,90,99.384,60,184,97.971,57.56557,57.56557,181.82,151.87848
057/057627.jams,,121,161.499,84,80,80.7495,40.887325,81.77465,81.08,81.69579
057/057629.jams,,139,132.512,94,187,65.834,92.57806,92.57806,181.82,69.413826
057/057630.jams,,53,123.047,60,108,90.6661,68.76326,68.76326,103.45,68.84211
058/058052.jams,,120,139.675,101,101,72.2793,60.64099,60.64099,153.85,60.64099
058/058060.jams,,96,132.512,80,87,80.1235,20.660519,20.660519,162.16,80.15808
058/058061.jams,,77,147.656,116,116,118.125,41.478752,82.957504,230.77,98.7289
058/058068.jams,,80,135.999,120,112,76.5625,49.916447,99.83289,66.67,89.89692
059/059663.jams,,136,126.048,87,84,82.6875,98.96547,74.2241,166.67,67.50154
059/059671.jams,,80,120.185,58,87,95.7031,66.003265,132.00653,136.36,66.003265
059/059676.jams,,151,234.908,116,224,113.582,69.70954,69.70954,113.21,111.66144
059/059682.jams,,188,178.206,86,85,86.8566,84.65293,84.65293,171.43,84.495224
059/059685.jams,,98,132.512,220,216,55.2724,110.63629,110.63629,55.05,110.63629
059/059706.jams,,80,156.605,116,54,98.4375,51.335873,102.671745,113.21,102.671745
059/059711.jams,,144,129.199,73,165,83.0196,92.42034,92.42034,222.22,71.4641
059/059718.jams,,121,126.048,130,135,87.5927,40.887325,81.77465,133.33,131.1391
060/060045.jams,,74,135.999,121,90,77.4228,46.44674,92.89348,162.16,79.88209
060/060074.jams,,121,135.999,87,87,83.3543,42.977036,64.46555,88.24,85.95407
060/060317.jams,,143,224.694,116,176,72.2793,73.02153,73.02153,71.43,123.92369
060/060544.jams,,138,129.199,191,192,94.8251,85.00779,85.00779,187.5,84.96836
060/060874.jams,,200,135.999,100,88,88.7205,88.87178,88.87178,44.44,88.87178
061/061007.jams,,70,132.512,97,97,94.3921,96.205475,96.205475,193.55,61.19299
061/061011.jams,,121,126.048,61,61,60.7996,60.956417,60.956417,61.22,60.956417
061/061161.jams,,96,114.844,92,92,91.875,91.78948,91.78948,90.91,91.78948
061/061821.jams,,84,103.359,232,200,79.5072,103.381454,103.381454,166.67,103.381454
062/062165.jams,,92,109.957,73,84,81.3853,127.31454,127.31454,120.0,70.95154
063/063470.jams,,120,156.605,174,155,76.8471,115.13114,115.13114,166.67,115.13114
064/064249.jams,,121,103.359,116,90,83.0196,96.28433,96.28433,162.16,104.44602
064/064521.jams,,188,95.7031,94,94,93.9631,93.99748,93.99748,93.75,93.99748
064/064788.jams,,77,120.185,60,67,70.3125,69.196976,69.196976,67.42,82.957504
065/065265.jams,,146,198.768,87,94,66.4691,73.73125,73.73125,72.29,86.93978
067/067365.jams,,74,107.666,116,155,80.1235,51.020443,51.020443,56.6,102.1986
067/067637.jams,,70,93.9631,140,140,141.588,140.01051,140.01051,139.53,140.01051
068/068536.jams,,144,135.999,75,119,74.6277,54.64786,109.29572,230.77,85.32321
068/068540.jams,,80,224.694,116,108,91.4685,73.888954,73.888954,187.5,90.52777
068/068541.jams,,144,123.047,87,196,91.4685,123.88427,123.88427,240.0,89.1872
068/068551.jams,,144,126.048,87,162,93.5379,20.739376,41.478752,200.0,82.957504
068/068573.jams,,77,92.2852,148,108,92.699,68.72383,68.72383,171.43,144.03221
068/068682.jams,,80,184.57,87,84,90.6661,42.58275,42.58275,181.82,88.67463
068/068869.jams,,80,97.5088,112,84,111.386,47.077595,94.15519,43.17,110.63629
068/068872.jams,,74,117.454,100,94,70.7547,100.73975,100.73975,230.77,141.35107
068/068875.jams,,160,126.048,123,132,82.7206,41.951897,83.90379,176.47,83.58836
069/069303.jams,,121,99.384,97,84,77.7138,64.82041,64.82041,157.89,54.72672
069/069723.jams,,80,114.844,58,108,136.9,71.16839,71.16839,54.55,71.12897
069/069768.jams,,77,166.709,87,87,137.812,84.77122,84.77122,139.53,84.810646
070/070002.jams,,143,114.844,116,184,135.11,114.06657,114.06657,171.43,114.06657
070/070005.jams,,96,114.844,87,107,91.4685,107.915726,107.915726,82.19,107.99459
071/071254.jams,,162,82.0313,81,81,81.0662,80.986084,80.986084,81.08,80.986084
072/072149.jams,,90,99.384,60,184,97.971,57.56557,57.56557,181.82,151.87848
073/073469.jams,,80,135.999,116,112,73.0455,75.38724,75.38724,214.29,92.341484
073/073519.jams,,120,156.605,91,181,91.4685,91.316345,91.316345,150.0,91.316345
073/073522.jams,,144,191.406,95,95,94.3921,94.94376,94.94376,95.24,94.94376
073/073566.jams,,73,107.666,116,116,96.5975,68.36897,68.36897,142.86,68.36897
073/073819.jams,,96,151.999,150,108,90.6661,71.48382,71.48382,240.0,149.03963
073/073820.jams,,96,161.499,58,108,82.6875,77.043236,77.043236,40.54,77.358665
073/073821.jams,,96,215.332,150,108,86.1328,104.761444,104.761444,133.33,144.54477
074/074669.jams,,162,82.0313,81,54,107.947,80.986084,80.986084,81.08,80.986084
075/075428.jams,,121,105.469,87,116,85.421,130.46881,130.46881,176.47,130.38997
075/075443.jams,,90,101.333,101,101,106.556,100.779175,100.779175,100.0,100.70032
075/075869.jams,,121,132.512,75,151,149.796,152.46991,76.234955,153.85,76.234955
076/076036.jams,,84,112.347,116,107,109.375,111.543144,111.543144,111.11,111.543144
076/076069.jams,,77,172.266,87,87,88.3413,43.765606,87.53121,88.24,87.53121
076/076381.jams,,138,143.555,148,108,97.5088,43.37132,86.74264,150.0,151.01106
079/079973.jams,,120,109.957,84,160,144.559,104.24888,104.24888,142.86,161.0653
080/080686.jams,,121,234.908,116,109,80.7495,73.96781,73.96781,230.77,85.32321
080/080693.jams,,96,166.709,82,192,87.5927,121.59741,60.798706,166.67,121.4397
080/080756.jams,,132,87.5927,85,172,86.8566,85.40207,85.40207,86.96,85.40207
081/081650.jams,,80,97.5088,87,108,91.4685,72.94267,72.94267,90.91,73.02153
081/081895.jams,,76,117.454,148,108,84.032,41.478752,82.957504,187.5,141.42993
082/082242.jams,,96,117.454,174,130,86.8566,68.84211,68.84211,171.43,80.7298
082/082250.jams,,121,143.555,116,176,94.8251,83.98264,83.98264,157.89,71.08954
083/083439.jams,,144,101.333,97,72,108.23,98.25575,98.25575,95.24,71.85839
083/083440.jams,,77,156.605,97,50,73.3045,100.58204,100.58204,100.0,100.503174
083/083969.jams,,143,107.666,116,224,116.134,91.43463,91.43463,111.11,91.35577
084/084057.jams,,80,112.347,116,102,69.8374,21.212519,42.425037,222.22,111.543144
084/084195.jams,,80,178.206,148,87,89.1029,66.83127,66.83127,72.29,90.52777
084/084200.jams,,80,112.347,149,94,119.491,53.070724,106.14145,176.47,106.299164
084/084202.jams,,96,107.666,148,87,90.6661,124.98825,124.98825,176.47,125.067116
084/084417.jams,,146,126.048,121,165,131.668,124.55455,124.55455,193.55,124.51512
085/085290.jams,,77,129.199,116,87,124.529,111.03058,111.03058,56.07,113.396286
085/085400.jams,,144,178.206,174,179,88.3413,87.76778,87.76778,176.47,87.76778
086/086039.jams,,96,101.333,116,87,103.359,41.163326,82.32665,222.22,121.12427
086/086256.jams,,96,139.675,150,87,131.668,42.661606,85.32321,115.38,125.69797
088/088486.jams,,121,114.844,112,114,112.347,111.74029,111.74029,113.21,111.779724
089/089991.jams,,80,114.844,174,174,86.1328,20.739376,41.478752,176.47,165.91501
089/089992.jams,,91,120.185,148,108,121.599,120.65112,120.65112,176.47,125.69797
090/090592.jams,,120,246.094,100,200,81.3853,99.83289,99.83289,200.0,99.83289
091/091130.jams,,80,129.199,87,84,84.032,25.31308,50.62616,100.0,85.32321
091/091788.jams,,151,120.185,112,107,113.582,73.179245,73.179245,111.11,109.80829
091/091900.jams,,84,143.555,116,135,61.3409,111.18829,111.18829,92.31,111.109436
092/092366.jams,,80,184.57,148,84,90.6661,20.581663,41.163326,45.45,70.41925
092/092873.jams,,181,60.0927,60,120,120.185,89.97578,89.97578,60.0,89.97578
092/092878.jams,,188,63.8021,63,63,63.4107,126.17111,126.17111,63.16,126.17111
092/092881.jams,,166,112.347,111,84,110.545,82.99693,82.99693,83.33,138.39395
092/092948.jams,,96,129.199,148,116,80.4353,41.163326,82.32665,153.85,76.96438
092/092950.jams,,144,129.199,87,87,82.0312,120.37512,120.37512,120.0,120.49341
092/092951.jams,,96,166.709,151,108,79.5072,42.661606,85.32321,240.0,85.32321
092/092955.jams,,77,143.555,151,108,72.7883,44.869602,89.739204,64.52,89.89692
093/093519.jams,,77,107.666,38,112,90.6661,55.19986,110.39972,73.17,111.819145
093/093520.jams,,120,151.999,73,112,112.961,72.07525,72.07525,73.17,107.8763
093/093521.jams,,53,191.406,74,112,112.961,71.3261,71.3261,72.29,142.6522
093/093523.jams,,57,120.185,87,72,127.604,72.62724,72.62724,73.17,114.736855
094/094422.jams,,143,112.347,72,109,71.529,108.9803,108.9803,214.29,108.9803
095/095722.jams,,149,101.333,100,99,99.8641,99.59632,99.59632,100.0,99.43861
096/096627.jams,,151,132.512,116,112,50.6664,110.71515,110.71515,162.16,79.86237
096/096697.jams,,96,172.266,86,86,85.421,85.7175,85.7175,49.18,75.09152
096/096898.jams,,144,114.844,132,112,55.7193,55.75186,111.50372,162.16,111.819145
096/096901.jams,,144,215.332,151,157,82.0312,75.604095,75.604095,153.85,75.604095
097/097215.jams,,87,123.047,58,58,58.2306,57.486713,114.97343,57.14,98.7289
097/097279.jams,,96,132.512,128,129,63.9996,154.91446,77.45723,63.83,75.84067
097/097283.jams,,96,129.199,65,130,76.5625,63.558697,63.558697,63.83,126.80197
097/097587.jams,,80,114.844,60,67,112.961,95.33804,95.33804,127.66,95.298615
098/098549.jams,,120,161.499,80,80,79.7872,80.00037,80.00037,80.0,80.0398
099/099214.jams,,80,156.605,87,176,74.8981,86.111786,86.111786,86.96,86.111786
099/099361.jams,,96,147.656,58,87,85.421,51.257015,102.51403,166.67,102.356316
099/099368.jams,,84,135.999,133,135,130.835,96.04776,96.04776,133.33,66.96926
099/099371.jams,,96,103.359,101,90,88.3413,36.35305,72.7061,109.09,72.7061
099/099374.jams,,77,135.999,52,53,137.812,40.690186,61.03528,117.65,81.85351
099/099389.jams,,127,156.605,78,157,78.3026,77.91066,77.91066,153.85,155.74248
099/099440.jams,,120,90.6661,174,179,89.4886,89.739204,89.739204,176.47,89.739204
100/100544.jams,,123,151.999,149,161,75.9995,150.02533,75.012665,153.85,150.02533
100/100550.jams,,138,246.094,87,84,80.7495,41.163326,82.32665,171.43,85.1655
102/102112.jams,,121,151.999,112,112,74.3593,98.6106,98.6106,181.82,98.6106
104/104062.jams,,120,101.333,60,60,60.0927,150.02533,75.012665,150.0,75.012665
104/104278.jams,,55,132.512,110,110,109.957,109.80829,109.80829,109.09,109.65058
104/104434.jams,,195,97.5088,97,97,97.0511,97.23061,97.23061,96.77,97.23061
104/104625.jams,,138,123.047,84,128,112.961,112.765434,112.765434,84.51,127.11739
105/105196.jams,,96,112.347,62,101,69.3687,70.99097,70.99097,49.18,125.77683
107/107389.jams,,98,147.656,149,149,74.0927,74.04667,74.04667,146.34,74.04667
107/107531.jams,,154,178.206,88,176,87.9654,87.846634,87.846634,176.47,87.846634
107/107535.jams,,48,114.844,81,71,91.4685,nan,nan,166.67,143.91391
107/107598.jams,,67,105.469,76,135,51.295,21.606804,43.213608,157.89,85.32321
107/107659.jams,,177,89.1029,87,88,87.9654,147.77791,73.888954,88.24,147.77791
108/108017.jams,,107,117.454,60,87,85.421,70.10382,70.10382,50.0,117.18142
108/108026.jams,,70,93.9631,139,46,92.2852,46.21017,92.42034,46.15,92.42034
108/108314.jams,,77,93.9631,60,90,123.784,63.164413,63.164413,133.33,66.16098
108/108464.jams,,80,126.048,94,161,93.1166,90.094055,90.094055,89.55,90.015205
108/108863.jams,,73,224.694,116,130,100.349,97.70376,97.70376,200.0,97.70376
108/108866.jams,,73,103.359,67,68,94.3921,114.81571,114.81571,69.77,68.17183
109/109071.jams,,138,90.6661,147,95,118.804,96.599754,96.599754,176.47,96.599754
109/109144.jams,,73,97.5088,97,97,144.559,98.176895,98.176895,96.77,145.72763
109/109447.jams,,77,70.7941,70,71,70.7941,70.14326,70.14326,70.59,140.28651
109/109448.jams,,191,129.199,63,63,63.4107,127.03854,127.03854,63.83,127.11739
109/109925.jams,,120,86.1328,85,85,85.0694,76.491234,76.491234,171.43,76.491234
109/109958.jams,,73,129.199,94,121,90.6661,120.29627,120.29627,146.34,60.16785
110/110209.jams,,70,107.666,52,58,53.278,61.587273,61.587273,43.8,61.42956
110/110611.jams,,77,191.406,148,123,91.4685,21.44909,42.89818,157.89,88.00435
110/110623.jams,,70,224.694,52,66,119.491,51.6513,103.3026,52.17,84.534645
110/110630.jams,,70,135.999,80,80,56.7909,109.69001,109.69001,77.92,109.72945
111/111146.jams,,74,172.266,87,87,66.8993,98.25575,98.25575,67.42,86.5455
111/111222.jams,,143,123.047,150,87,78.3026,41.163326,82.32665,157.89,101.56775
111/111224.jams,,77,105.469,150,87,82.6875,46.68331,93.36662,59.41,112.05572
111/111229.jams,,70,105.469,112,116,89.8777,45.89474,45.89474,105.26,143.91391
111/111382.jams,,195,97.5088,97,97,97.0511,96.95462,96.95462,96.77,96.95462
111/111871.jams,,151,112.347,120,116,118.125,91.15863,91.15863,214.29,91.15863
111/111994.jams,,138,166.709,148,84,82.0312,79.52722,79.52722,127.66,91.15863
112/112000.jams,,80,161.499,101,123,121.599,122.66198,122.66198,200.0,122.66198
112/112088.jams,,70,99.384,76,45,85.421,44.869602,89.739204,230.77,89.58149
112/112789.jams,,143,172.266,35,133,71.2823,41.478752,82.957504,230.77,101.094604
113/113166.jams,,77,135.999,148,90,62.8324,61.508415,61.508415,240.0,94.15519
113/113336.jams,,70,64.5996,52,64,104.403,159.9613,79.98065,80.0,79.901794
113/113530.jams,,80,151.999,148,155,75.9995,42.89818,42.89818,153.85,85.79636
113/113702.jams,,120,112.347,148,133,65.211,153.53448,76.76724,230.77,153.53448
113/113789.jams,,160,132.512,80,80,80.1235,79.901794,79.901794,80.0,79.92152
114/114239.jams,,67,109.957,116,108,106.132,108.9803,108.9803,113.21,108.9803
114/114879.jams,,74,105.469,116,107,99.8641,107.08773,107.08773,53.1,108.66487
114/114880.jams,,146,107.666,116,121,94.8251,122.10998,122.10998,200.0,122.07055
