T (BPM),1.0,2.0,GTZAN-Rhythm_v2_ismir2015_lbd_2015-10-28
77.0,0.15,0.14614614614614616,0.061
78.0,0.144,0.14214214214214213,0.059
79.0,0.144,0.14214214214214213,0.063
80.0,0.138,0.13513513513513514,0.066
81.0,0.125,0.12312312312312312,0.061
82.0,0.116,0.11611611611611612,0.06
83.0,0.12,0.12112112112112113,0.063
84.0,0.115,0.11611611611611612,0.063
85.0,0.117,0.11811811811811812,0.062
86.0,0.111,0.11211211211211211,0.065
87.0,0.124,0.12612612612612611,0.069
88.0,0.12,0.12212212212212212,0.074
89.0,0.124,0.12612612612612611,0.08
90.0,0.129,0.13313313313313313,0.085
91.0,0.13,0.13413413413413414,0.096
92.0,0.135,0.14014014014014015,0.107
93.0,0.152,0.15615615615615616,0.122
94.0,0.151,0.15515515515515516,0.128
95.0,0.173,0.17417417417417416,0.133
96.0,0.167,0.16916916916916916,0.141
97.0,0.187,0.19019019019019018,0.146
98.0,0.173,0.17517517517517517,0.141
99.0,0.178,0.18018018018018017,0.143
100.0,0.179,0.18018018018018017,0.142
101.0,0.176,0.17617617617617617,0.138
102.0,0.174,0.17517517517517517,0.136
103.0,0.178,0.1781781781781782,0.129
104.0,0.161,0.16116116116116116,0.13
105.0,0.17,0.17017017017017017,0.132
106.0,0.149,0.15215215215215216,0.126
107.0,0.154,0.15615615615615616,0.121
108.0,0.132,0.13413413413413414,0.125
109.0,0.14,0.14314314314314314,0.124
110.0,0.138,0.14114114114114115,0.119
111.0,0.131,0.13413413413413414,0.117
112.0,0.129,0.13113113113113112,0.117
113.0,0.136,0.13713713713713713,0.128
114.0,0.121,0.12212212212212212,0.123
115.0,0.134,0.13513513513513514,0.119
116.0,0.117,0.11811811811811812,0.12
117.0,0.131,0.13213213213213212,0.125
118.0,0.124,0.12412412412412413,0.121
119.0,0.131,0.13113113113113112,0.122
120.0,0.123,0.12312312312312312,0.13
121.0,0.118,0.11811811811811812,0.13
122.0,0.114,0.11411411411411411,0.131
123.0,0.11,0.1111111111111111,0.12
124.0,0.098,0.0990990990990991,0.12
125.0,0.113,0.11311311311311312,0.121
126.0,0.099,0.0990990990990991,0.124
127.0,0.102,0.1021021021021021,0.119
128.0,0.085,0.08508508508508508,0.119
129.0,0.082,0.08308308308308308,0.11
130.0,0.071,0.07207207207207207,0.096
131.0,0.065,0.06506506506506507,0.091
132.0,0.06,0.06106106106106106,0.086
133.0,0.06,0.062062062062062065,0.081
134.0,0.053,0.05405405405405406,0.081
135.0,0.054,0.05405405405405406,0.073
136.0,0.038,0.03903903903903904,0.063
137.0,0.035,0.036036036036036036,0.06
138.0,0.03,0.031031031031031032,0.053
139.0,0.027,0.028028028028028028,0.046
140.0,0.025,0.026026026026026026,0.045
141.0,0.021,0.022022022022022022,0.048
142.0,0.02,0.021021021021021023,0.047
143.0,0.02,0.021021021021021023,0.045
144.0,0.017,0.016016016016016016,0.044
145.0,0.015,0.015015015015015015,0.048
146.0,0.01,0.011011011011011011,0.047
147.0,0.01,0.011011011011011011,0.052
148.0,0.011,0.012012012012012012,0.052
149.0,0.01,0.011011011011011011,0.057
150.0,0.01,0.011011011011011011,0.059
151.0,0.01,0.011011011011011011,0.056
152.0,0.011,0.013013013013013013,0.056
153.0,0.012,0.014014014014014014,0.056
154.0,0.009,0.01001001001001001,0.051
155.0,0.009,0.011011011011011011,0.045
156.0,0.009,0.011011011011011011,0.045
157.0,0.009,0.011011011011011011,0.035
158.0,0.008,0.01001001001001001,0.039
159.0,0.006,0.008008008008008008,0.034
160.0,0.006,0.008008008008008008,0.036
161.0,0.006,0.008008008008008008,0.032
162.0,0.005,0.007007007007007007,0.028
163.0,0.006,0.007007007007007007,0.024
164.0,0.004,0.005005005005005005,0.024
165.0,0.004,0.005005005005005005,0.027
166.0,0.003,0.004004004004004004,0.024
167.0,0.003,0.003003003003003003,0.026
168.0,0.003,0.003003003003003003,0.023
169.0,0.003,0.003003003003003003,0.024
170.0,0.003,0.003003003003003003,0.022
171.0,0.002,0.002002002002002002,0.028
172.0,0.002,0.002002002002002002,0.029
173.0,0.002,0.002002002002002002,0.028
174.0,0.0,0.0,0.03
175.0,0.0,0.0,0.027
176.0,0.0,0.0,0.028
177.0,0.0,0.0,0.026
178.0,0.0,0.0,0.025
179.0,0.0,0.0,0.024
180.0,0.0,0.0,0.021
181.0,0.0,0.0,0.017
182.0,0.0,0.0,0.014
183.0,0.0,0.0,0.014
184.0,0.0,0.0,0.013
185.0,0.0,0.0,0.011
186.0,0.0,0.0,0.01
187.0,0.0,0.0,0.01
188.0,0.0,0.0,0.01
189.0,0.0,0.0,0.01
190.0,0.0,0.0,0.01
191.0,0.0,0.0,0.012
192.0,0.0,0.0,0.014
193.0,0.0,0.0,0.018
194.0,0.0,0.0,0.018
195.0,0.0,0.0,0.019
196.0,0.0,0.0,0.021
197.0,0.0,0.0,0.02
198.0,0.0,0.0,0.019
199.0,0.0,0.0,0.021
200.0,0.0,0.0,0.023
201.0,0.0,0.0,0.019
202.0,0.0,0.0,0.018
203.0,0.0,0.0,0.013
204.0,0.0,0.0,0.012
205.0,0.0,0.0,0.012
206.0,0.0,0.0,0.01
207.0,0.0,0.0,0.01
208.0,0.0,0.0,0.009
209.0,0.0,0.0,0.009
210.0,0.0,0.0,0.009
211.0,0.0,0.0,0.009
212.0,0.0,0.0,0.009
213.0,0.0,0.0,0.01
214.0,0.0,0.0,0.012
215.0,0.0,0.0,0.013
216.0,0.0,0.0,0.012
217.0,0.0,0.0,0.013
218.0,0.0,0.0,0.014
219.0,0.0,0.0,0.011
220.0,0.0,0.0,0.009
221.0,0.0,0.0,0.009
222.0,0.0,0.0,0.008
223.0,0.0,0.0,0.008
224.0,0.0,0.0,0.006
225.0,0.0,0.0,0.005
226.0,0.0,0.0,0.005
227.0,0.0,0.0,0.004
228.0,0.0,0.0,0.004
229.0,0.0,0.0,0.006
230.0,0.0,0.0,0.006
231.0,0.0,0.0,0.007
232.0,0.0,0.0,0.009
233.0,0.0,0.0,0.008
234.0,0.0,0.0,0.007
235.0,0.0,0.0,0.006
236.0,0.0,0.0,0.006
237.0,0.0,0.0,0.009
238.0,0.0,0.0,0.008
239.0,0.0,0.0,0.007
240.0,0.0,0.0,0.007
241.0,0.0,0.0,0.006
242.0,0.0,0.0,0.004
243.0,0.0,0.0,0.004
244.0,0.0,0.0,0.004
245.0,0.0,0.0,0.006
246.0,0.0,0.0,0.006
247.0,0.0,0.0,0.003
248.0,0.0,0.0,0.003
249.0,0.0,0.0,0.002
250.0,0.0,0.0,0.002
251.0,0.0,0.0,0.002
252.0,0.0,0.0,0.002
253.0,0.0,0.0,0.002
254.0,0.0,0.0,0.003
255.0,0.0,0.0,0.001
256.0,0.0,0.0,0.001
257.0,0.0,0.0,0.001
258.0,0.0,0.0,0.003
259.0,0.0,0.0,0.004
260.0,0.0,0.0,0.004
261.0,0.0,0.0,0.005
262.0,0.0,0.0,0.005
263.0,0.0,0.0,0.005
264.0,0.0,0.0,0.004
265.0,0.0,0.0,0.004
266.0,0.0,0.0,0.005
267.0,0.0,0.0,0.005
268.0,0.0,0.0,0.004
269.0,0.0,0.0,0.003
270.0,0.0,0.0,0.003
271.0,0.0,0.0,0.002
272.0,0.0,0.0,0.002
273.0,0.0,0.0,0.002
274.0,0.0,0.0,0.002
275.0,0.0,0.0,0.002
276.0,0.0,0.0,0.001
277.0,0.0,0.0,0.001
278.0,0.0,0.0,0.0
279.0,0.0,0.0,0.0
280.0,0.0,0.0,0.0
281.0,0.0,0.0,0.0
282.0,0.0,0.0,0.0
283.0,0.0,0.0,0.0
284.0,0.0,0.0,0.0
285.0,0.0,0.0,0.0
286.0,0.0,0.0,0.0
287.0,0.0,0.0,0.0
288.0,0.0,0.0,0.0
289.0,0.0,0.0,0.0
290.0,0.0,0.0,0.0
291.0,0.0,0.0,0.0
292.0,0.0,0.0,0.0
293.0,0.0,0.0,0.0
294.0,0.0,0.0,0.0
295.0,0.0,0.0,0.0
296.0,0.0,0.0,0.0
297.0,0.0,0.0,0.0
298.0,0.0,0.0,0.0
299.0,0.0,0.0,0.0
300.0,0.0,0.0,0.0
