Item,cvar,1.0,2.0,davies2009/mirex_qm_tempotracker,boeck2019/multi_task_hjdb,boeck2019/multi_task,boeck2020/dar,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
SMC_137.jams,0.16646483507205848,125.39527245409565,124.74,132.512,79.89,79.53,39.84,57,163,77,80.1235,53.622723,107.245445,115.38,75.54495
SMC_139.jams,0.03282620319774703,41.09589041095888,41.096,151.999,77.19,68.7,82.01,82,168,81,89.8777,81.89294,81.89294,166.67,81.85351
SMC_152.jams,0.1683202696069443,84.03361344537821,84.034,191.406,67.3,66.0,91.31,100,101,101,93.1166,136.18594,136.18594,58.82,71.52325
SMC_158.jams,0.23568323460392046,42.36091499576391,42.361,184.57,66.38,66.72,66.48,97,101,101,101.333,101.33118,101.33118,200.0,95.10148
SMC_168.jams,0.06918097272354294,34.032898468519605,34.033,132.512,65.79,66.4,67.21,148,70,87,89.1029,66.55526,66.55526,68.97,67.18612
SMC_174.jams,0.1488959761539741,81.68826113551681,81.688,126.048,92.3,92.4,91.5,116,177,90,93.1166,118.52199,59.260994,139.53,118.52199
SMC_192.jams,0.09364236395499105,32.918020946189955,32.913,132.512,45.12,65.39,34.33,48,80,87,90.6661,50.941586,50.941586,41.67,101.25232
SMC_202.jams,0.06719377450803699,55.658627087198546,55.659,191.406,67.85,64.21,49.52,151,77,87,88.3413,22.158802,44.317604,115.38,102.356316
SMC_209.jams,0.1679992726415773,72.99313284395004,72.993,129.199,79.22,78.54,77.74,80,80,81,89.8777,79.2118,79.2118,77.92,79.56666
SMC_212.jams,0.11326612662936114,40.540540540540526,40.541,161.499,64.32,45.51,47.15,74,77,84,82.0312,43.765606,65.64841,47.24,85.95407
SMC_215.jams,0.12806146045319136,57.3067993669066,57.307,191.406,64.78,64.51,99.96,87,94,94,98.4375,105.70773,105.70773,187.5,104.20946
SMC_219.jams,0.15367945870344035,91.25480562379441,91.255,198.768,99.51,97.25,99.48,87,96,87,100.838,80.8678,80.8678,187.5,81.22266
SMC_223.jams,0.19513581435973704,60.4229607250754,60.423,156.605,65.48,63.52,66.2,116,90,97,95.7031,91.986626,91.986626,90.91,90.52777
SMC_226.jams,0.1138747435114968,55.6991470664254,55.684,132.512,58.59,62.9,53.39,63,94,63,89.8777,89.66034,59.773563,61.86,66.08212
SMC_235.jams,0.1449998251123221,64.5161290322582,64.516,117.454,74.39,72.57,76.2,116,113,112,114.844,113.396286,113.396286,222.22,110.87286
SMC_237.jams,0.12650727626063824,64.58557588805152,64.586,191.406,72.71,72.58,71.62,87,87,87,73.3045,79.60609,106.14145,73.17,107.71859
SMC_239.jams,0.09824245805442898,48.2315112540193,48.232,120.185,54.62,53.95,54.51,87,80,87,88.3413,11.197686,22.395372,71.43,87.846634
SMC_244.jams,0.08711314887578808,109.68921389396698,109.689,151.999,54.22,54.96,54.77,87,77,84,84.7208,22.631943,45.263885,51.28,52.755295
SMC_255.jams,0.1046398742329495,63.9079741509143,63.908,143.555,67.11,68.35,67.17,71,67,67,71.0374,66.91011,133.82022,71.43,66.91011
SMC_256.jams,0.18995638280549484,67.87339002245815,67.873,114.844,56.12,56.07,113.25,97,101,112,108.799,129.0494,129.0494,111.11,64.48527
SMC_257.jams,0.26883507060809886,155.23958709884658,155.44,112.347,82.1,82.84,82.81,163,81,81,84.032,82.09008,82.09008,82.19,108.822586
SMC_265.jams,0.15913891001393454,153.0612244897968,153.061,172.266,57.33,58.15,54.39,167,121,82,76.5625,81.57751,81.57751,122.45,81.41979
SMC_266.jams,0.21771659541035546,47.713725237240666,47.714,99.384,37.19,45.69,36.16,97,97,94,94.3921,132.99223,132.99223,98.36,118.44313
SMC_272.jams,0.04578454686422322,206.89655172413853,206.897,105.469,104.14,103.95,104.17,104,104,104,103.879,103.97288,103.97288,103.45,103.97288
SMC_276.jams,0.04646737164696219,188.0877742946714,188.088,95.7031,94.1,94.09,94.19,94,94,94,93.9631,94.0369,94.0369,93.75,94.07633
