T (BPM),schreiber2018/ismir2018
159.0,0.03266221030300604
160.0,0.03322259136212625
161.0,0.03502381619501261
162.0,0.03514389785053837
163.0,0.036424768842813114
164.0,0.03558419725413281
165.0,0.03722531321298483
166.0,0.027738862426449986
167.0,0.029580114477844935
168.0,0.017812112236320697
169.0,0.020814153624464635
170.0,0.02029379978385302
171.0,0.019213064884121202
172.0,0.021294480246567667
173.0,0.019613337069207062
174.0,0.018412520513949485
175.0,0.016811431773606052
176.0,0.01501020694071969
177.0,0.01432974422607373
178.0,0.011888083897049994
179.0,0.012288356082135852
180.0,0.008725933634871712
181.0,0.009526478005043429
182.0,0.007445062642596966
183.0,0.006164191650322219
184.0,0.006164191650322219
185.0,0.005723892246727775
186.0,0.006124164431813633
187.0,0.006004082776287876
188.0,0.00644438217988232
189.0,0.00644438217988232
190.0,0.0070447904575111076
191.0,0.0070447904575111076
192.0,0.005443701717167674
193.0,0.005884001120762118
194.0,0.003162150262178281
195.0,0.0050034023135732296
196.0,0.004923347876556058
197.0,0.004603130128487371
198.0,0.0038025857583156544
199.0,0.0036424768842813113
200.0,0.0038426129768242404
201.0,0.0028419325141095944
202.0,0.0028419325141095944
203.0,0.0033222591362126247
204.0,0.0028819597326181804
205.0,0.0028819597326181804
206.0,0.0010407076812232318
207.0,0.0012008165552575751
208.0,0.0011207621182404036
209.0,0.0011207621182404036
210.0,0.0008405715886803026
211.0,0.0010807348997318176
212.0,0.0010807348997318176
213.0,0.0010807348997318176
214.0,0.0006004082776287876
215.0,0.0007605171516631309
216.0,0.0007605171516631309
217.0,0.0007605171516631309
218.0,0.0006004082776287876
219.0,0.0007605171516631309
220.0,0.0007605171516631309
221.0,0.0007605171516631309
222.0,0.0003202177480686867
223.0,0.00048032662210303006
224.0,0.00048032662210303006
225.0,0.00048032662210303006
226.0,0.0003202177480686867
227.0,0.0005603810591202018
228.0,0.0005603810591202018
229.0,0.0005603810591202018
230.0,0.0004002721850858584
231.0,0.0004002721850858584
232.0,0.0004002721850858584
233.0,0.0004002721850858584
234.0,0.00024016331105151503
235.0,0.00024016331105151503
236.0,0.00024016331105151503
237.0,0.00024016331105151503
238.0,0.0
239.0,0.0
240.0,0.0
241.0,0.0
242.0,0.0
243.0,0.0
244.0,0.0
245.0,0.0
246.0,0.0
247.0,0.0
248.0,0.0
249.0,0.0
250.0,0.0
251.0,0.0
252.0,0.0
253.0,0.0
254.0,0.0
255.0,0.0
256.0,0.0
257.0,0.0
258.0,0.0
259.0,0.0
260.0,0.0
261.0,0.0
262.0,0.0
263.0,0.0
264.0,0.0
265.0,0.0
266.0,0.0
267.0,0.0
268.0,0.0
269.0,0.0
270.0,0.0
271.0,0.0
272.0,0.0
273.0,0.0
274.0,0.0
275.0,0.0
276.0,0.0
277.0,0.0
278.0,0.0
279.0,0.0
280.0,0.0
281.0,0.0
282.0,0.0
283.0,0.0
284.0,0.0
285.0,0.0
286.0,0.0
287.0,0.0
288.0,0.0
289.0,0.0
290.0,0.0
291.0,0.0
292.0,0.0
293.0,0.0
294.0,0.0
295.0,0.0
296.0,0.0
297.0,0.0
298.0,0.0
299.0,0.0
300.0,0.0
