τ,ballroom 1.0,beatles 1.2,gtzan GTZAN-Rhythm_v2_ismir2015_lbd_2015-10-28,hainsworth 1.0,hjdb 1.0,klapuri 1.0,rwc_mdb_c 1.0,rwc_mdb_g 1.0,rwc_mdb_j 1.0,rwc_mdb_p 1.0,rwc_mdb_r 1.0,smc_mirex 1.0,wjd 1.0
0.07,0.995702005730659,0.8770949720670391,0.923,0.8963963963963963,1.0,0.9004237288135594,0.29508196721311475,0.7254901960784313,0.84,0.98,1.0,0.3870967741935484,0.9868421052631579
0.075,0.997134670487106,0.88268156424581,0.927,0.9099099099099099,1.0,0.913135593220339,0.3114754098360656,0.7352941176470589,0.86,0.98,1.0,0.41935483870967744,0.9890350877192983
0.08,0.997134670487106,0.88268156424581,0.933,0.9099099099099099,1.0,0.923728813559322,0.3114754098360656,0.7450980392156863,0.86,0.98,1.0,0.4792626728110599,0.9912280701754386
0.085,0.997134670487106,0.8938547486033519,0.939,0.9099099099099099,1.0,0.934322033898305,0.36065573770491804,0.7549019607843137,0.86,0.98,1.0,0.5161290322580645,0.9912280701754386
0.09,0.997134670487106,0.9106145251396648,0.942,0.9099099099099099,1.0,0.9385593220338984,0.36065573770491804,0.7647058823529411,0.88,0.98,1.0,0.5391705069124424,0.9912280701754386
0.095,0.997134670487106,0.9106145251396648,0.946,0.9099099099099099,1.0,0.9470338983050848,0.4098360655737705,0.7745098039215687,0.92,0.99,1.0,0.5852534562211982,0.9912280701754386
0.1,0.997134670487106,0.9106145251396648,0.952,0.9234234234234234,1.0,0.9533898305084746,0.4426229508196721,0.7941176470588235,0.92,0.99,1.0,0.6129032258064516,0.9912280701754386
0.105,0.998567335243553,0.9273743016759777,0.956,0.9279279279279279,1.0,0.9555084745762712,0.47540983606557374,0.7941176470588235,0.92,0.99,1.0,0.631336405529954,0.9912280701754386
0.11,0.998567335243553,0.9329608938547486,0.96,0.9414414414414415,1.0,0.9576271186440678,0.47540983606557374,0.8137254901960784,0.94,0.99,1.0,0.6497695852534562,0.9912280701754386
0.115,0.998567335243553,0.9329608938547486,0.963,0.9414414414414415,1.0,0.9576271186440678,0.47540983606557374,0.8137254901960784,0.96,0.99,1.0,0.6728110599078341,0.9912280701754386
0.12,0.998567335243553,0.9329608938547486,0.965,0.9459459459459459,1.0,0.9597457627118644,0.4918032786885246,0.8137254901960784,0.98,0.99,1.0,0.6912442396313364,0.9912280701754386
0.125,0.998567335243553,0.9329608938547486,0.966,0.9459459459459459,1.0,0.9597457627118644,0.5081967213114754,0.8137254901960784,0.98,0.99,1.0,0.695852534562212,0.9912280701754386
0.13,0.998567335243553,0.9441340782122905,0.966,0.954954954954955,1.0,0.961864406779661,0.5245901639344263,0.8137254901960784,0.98,0.99,1.0,0.7096774193548387,0.9912280701754386
0.135,0.998567335243553,0.9441340782122905,0.967,0.954954954954955,1.0,0.9639830508474576,0.5409836065573771,0.8137254901960784,0.98,0.99,1.0,0.7188940092165899,0.9912280701754386
0.14,0.998567335243553,0.9497206703910615,0.971,0.9594594594594594,1.0,0.9661016949152542,0.5409836065573771,0.8137254901960784,0.98,0.99,1.0,0.7373271889400922,0.9912280701754386
0.145,1.0,0.9497206703910615,0.972,0.963963963963964,1.0,0.9661016949152542,0.5737704918032787,0.8137254901960784,0.98,0.99,1.0,0.7557603686635944,0.993421052631579
0.15,1.0,0.9497206703910615,0.975,0.963963963963964,1.0,0.9661016949152542,0.6557377049180327,0.8137254901960784,1.0,0.99,1.0,0.7603686635944701,0.993421052631579
0.155,1.0,0.9497206703910615,0.977,0.9684684684684685,1.0,0.9682203389830508,0.6721311475409836,0.8235294117647058,1.0,0.99,1.0,0.783410138248848,0.993421052631579
0.16,1.0,0.9497206703910615,0.982,0.9684684684684685,1.0,0.9682203389830508,0.7049180327868853,0.8333333333333334,1.0,0.99,1.0,0.8064516129032258,0.9956140350877193
0.165,1.0,0.9608938547486033,0.982,0.9684684684684685,1.0,0.972457627118644,0.7377049180327869,0.8431372549019608,1.0,0.99,1.0,0.8202764976958525,0.9956140350877193
0.17,1.0,0.9664804469273743,0.983,0.972972972972973,1.0,0.9745762711864406,0.7377049180327869,0.8529411764705882,1.0,0.99,1.0,0.847926267281106,0.9956140350877193
0.175,1.0,0.9720670391061452,0.984,0.9774774774774775,1.0,0.9766949152542372,0.7377049180327869,0.8627450980392157,1.0,0.99,1.0,0.8525345622119815,0.9956140350877193
0.18,1.0,0.9776536312849162,0.987,0.9819819819819819,1.0,0.9766949152542372,0.7540983606557377,0.8627450980392157,1.0,0.99,1.0,0.8617511520737328,0.9956140350877193
0.185,1.0,0.9776536312849162,0.987,0.9819819819819819,1.0,0.9809322033898306,0.7868852459016393,0.8627450980392157,1.0,0.99,1.0,0.8663594470046083,0.9956140350877193
0.19,1.0,0.9832402234636871,0.987,0.9864864864864865,1.0,0.9809322033898306,0.7868852459016393,0.8627450980392157,1.0,0.99,1.0,0.8755760368663594,0.9956140350877193
0.195,1.0,0.9832402234636871,0.989,0.9864864864864865,1.0,0.9809322033898306,0.8032786885245902,0.8725490196078431,1.0,0.99,1.0,0.8755760368663594,0.9956140350877193
0.2,1.0,0.9832402234636871,0.989,0.990990990990991,1.0,0.9809322033898306,0.8360655737704918,0.8725490196078431,1.0,0.99,1.0,0.8894009216589862,0.9956140350877193
0.205,1.0,0.9832402234636871,0.99,0.990990990990991,1.0,0.9830508474576272,0.8524590163934426,0.8823529411764706,1.0,0.99,1.0,0.8940092165898618,0.9978070175438597
0.21,1.0,0.9832402234636871,0.99,0.990990990990991,1.0,0.9830508474576272,0.8524590163934426,0.8823529411764706,1.0,0.99,1.0,0.9124423963133641,0.9978070175438597
0.215,1.0,0.9832402234636871,0.99,0.990990990990991,1.0,0.9872881355932204,0.8524590163934426,0.8823529411764706,1.0,0.99,1.0,0.9124423963133641,0.9978070175438597
0.22,1.0,0.9832402234636871,0.992,0.990990990990991,1.0,0.9872881355932204,0.8524590163934426,0.8921568627450981,1.0,0.99,1.0,0.9170506912442397,0.9978070175438597
0.225,1.0,0.9888268156424581,0.992,0.990990990990991,1.0,0.9872881355932204,0.8524590163934426,0.9019607843137255,1.0,0.99,1.0,0.9216589861751152,0.9978070175438597
0.23,1.0,0.9888268156424581,0.992,0.990990990990991,1.0,0.989406779661017,0.8524590163934426,0.9019607843137255,1.0,0.99,1.0,0.9262672811059908,0.9978070175438597
0.235,1.0,0.9888268156424581,0.992,0.990990990990991,1.0,0.9915254237288136,0.8688524590163934,0.9019607843137255,1.0,0.99,1.0,0.9308755760368663,0.9978070175438597
0.24,1.0,0.9888268156424581,0.992,0.990990990990991,1.0,0.9915254237288136,0.8852459016393442,0.9117647058823529,1.0,0.99,1.0,0.9400921658986175,0.9978070175438597
0.245,1.0,0.994413407821229,0.992,0.990990990990991,1.0,0.9936440677966102,0.8852459016393442,0.9117647058823529,1.0,0.99,1.0,0.9447004608294931,0.9978070175438597
0.25,1.0,0.994413407821229,0.993,0.990990990990991,1.0,0.9936440677966102,0.8852459016393442,0.9117647058823529,1.0,0.99,1.0,0.9447004608294931,0.9978070175438597
0.255,1.0,0.994413407821229,0.993,0.990990990990991,1.0,0.9936440677966102,0.8852459016393442,0.9117647058823529,1.0,0.99,1.0,0.9493087557603687,0.9978070175438597
0.26,1.0,0.994413407821229,0.993,0.990990990990991,1.0,0.9936440677966102,0.9016393442622951,0.9215686274509803,1.0,0.99,1.0,0.9585253456221198,0.9978070175438597
0.265,1.0,0.994413407821229,0.993,0.990990990990991,1.0,0.9936440677966102,0.9016393442622951,0.9411764705882353,1.0,0.99,1.0,0.9585253456221198,0.9978070175438597
0.27,1.0,0.994413407821229,0.993,0.9954954954954955,1.0,0.9936440677966102,0.9180327868852459,0.9411764705882353,1.0,0.99,1.0,0.967741935483871,0.9978070175438597
0.275,1.0,0.994413407821229,0.995,0.9954954954954955,1.0,0.9936440677966102,0.9180327868852459,0.9607843137254902,1.0,0.99,1.0,0.967741935483871,0.9978070175438597
0.28,1.0,0.994413407821229,0.995,0.9954954954954955,1.0,0.9957627118644068,0.9508196721311475,0.9607843137254902,1.0,0.99,1.0,0.9723502304147466,0.9978070175438597
0.285,1.0,0.994413407821229,0.996,0.9954954954954955,1.0,0.9957627118644068,0.9508196721311475,0.9705882352941176,1.0,0.99,1.0,0.9723502304147466,0.9978070175438597
0.29,1.0,0.994413407821229,0.996,0.9954954954954955,1.0,0.9957627118644068,0.9508196721311475,0.9705882352941176,1.0,0.99,1.0,0.9723502304147466,0.9978070175438597
0.295,1.0,0.994413407821229,0.996,0.9954954954954955,1.0,0.9957627118644068,0.9508196721311475,0.9705882352941176,1.0,0.99,1.0,0.9723502304147466,0.9978070175438597
0.3,1.0,0.994413407821229,0.996,0.9954954954954955,1.0,0.9957627118644068,0.9508196721311475,0.9803921568627451,1.0,0.99,1.0,0.9723502304147466,0.9978070175438597
0.305,1.0,0.994413407821229,0.996,0.9954954954954955,1.0,0.9957627118644068,0.9508196721311475,0.9803921568627451,1.0,0.99,1.0,0.9769585253456221,0.9978070175438597
0.31,1.0,0.994413407821229,0.996,0.9954954954954955,1.0,0.9957627118644068,0.9508196721311475,0.9901960784313726,1.0,0.99,1.0,0.9769585253456221,0.9978070175438597
0.315,1.0,0.994413407821229,0.997,0.9954954954954955,1.0,0.9957627118644068,0.9508196721311475,0.9901960784313726,1.0,0.99,1.0,0.9769585253456221,1.0
0.32,1.0,1.0,0.997,0.9954954954954955,1.0,0.9957627118644068,0.9672131147540983,0.9901960784313726,1.0,0.99,1.0,0.9769585253456221,1.0
0.325,1.0,1.0,0.998,0.9954954954954955,1.0,0.9957627118644068,0.9672131147540983,0.9901960784313726,1.0,0.99,1.0,0.9815668202764977,1.0
0.33,1.0,1.0,0.998,0.9954954954954955,1.0,0.9957627118644068,0.9672131147540983,0.9901960784313726,1.0,0.99,1.0,0.9815668202764977,1.0
0.335,1.0,1.0,0.999,0.9954954954954955,1.0,0.9957627118644068,0.9672131147540983,0.9901960784313726,1.0,0.99,1.0,0.9815668202764977,1.0
0.34,1.0,1.0,0.999,0.9954954954954955,1.0,0.9957627118644068,0.9672131147540983,0.9901960784313726,1.0,1.0,1.0,0.9861751152073732,1.0
0.345,1.0,1.0,0.999,0.9954954954954955,1.0,0.9957627118644068,0.9672131147540983,0.9901960784313726,1.0,1.0,1.0,0.9861751152073732,1.0
0.35,1.0,1.0,0.999,0.9954954954954955,1.0,0.9957627118644068,0.9672131147540983,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.355,1.0,1.0,0.999,0.9954954954954955,1.0,0.9978813559322034,0.9672131147540983,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.36,1.0,1.0,0.999,0.9954954954954955,1.0,0.9978813559322034,0.9672131147540983,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.365,1.0,1.0,0.999,0.9954954954954955,1.0,0.9978813559322034,0.9672131147540983,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.37,1.0,1.0,0.999,0.9954954954954955,1.0,0.9978813559322034,0.9836065573770492,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.375,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.38,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.385,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.39,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.395,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.4,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.405,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.41,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.415,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.42,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.425,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.43,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,0.9901960784313726,1.0,1.0,1.0,0.9907834101382489,1.0
0.435,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9907834101382489,1.0
0.44,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9907834101382489,1.0
0.445,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9907834101382489,1.0
0.45,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9907834101382489,1.0
0.455,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9907834101382489,1.0
0.46,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9907834101382489,1.0
0.465,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9907834101382489,1.0
0.47,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9953917050691244,1.0
0.475,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9953917050691244,1.0
0.48,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9953917050691244,1.0
0.485,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9953917050691244,1.0
0.49,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9953917050691244,1.0
0.495,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9953917050691244,1.0
0.5,1.0,1.0,0.999,1.0,1.0,0.9978813559322034,0.9836065573770492,1.0,1.0,1.0,1.0,0.9953917050691244,1.0
