T (BPM),1.0,2.0,2.0-no-dupes,3.0,3.0-no-dupes,4.0
75.0,0.012893982808022923,0.015759312320916905,0.014598540145985401,0.014326647564469915,0.013138686131386862,0.012893982808022923
76.0,0.014326647564469915,0.017191977077363897,0.016058394160583942,0.017191977077363897,0.016058394160583942,0.015759312320916905
77.0,0.014326647564469915,0.02005730659025788,0.01897810218978102,0.02005730659025788,0.01897810218978102,0.017191977077363897
78.0,0.012893982808022923,0.025787965616045846,0.024817518248175182,0.025787965616045846,0.024817518248175182,0.015759312320916905
79.0,0.0673352435530086,0.04871060171919771,0.04817518248175182,0.045845272206303724,0.04525547445255475,0.0673352435530086
80.0,0.0659025787965616,0.06876790830945559,0.06861313868613139,0.07020057306590258,0.07007299270072993,0.0673352435530086
81.0,0.0673352435530086,0.08166189111747851,0.08175182481751825,0.07449856733524356,0.07445255474452554,0.0673352435530086
82.0,0.14613180515759314,0.1361031518624642,0.13722627737226278,0.1346704871060172,0.13576642335766423,0.14613180515759314
83.0,0.15472779369627507,0.1504297994269341,0.15182481751824817,0.1518624641833811,0.15328467153284672,0.15329512893982808
84.0,0.15472779369627507,0.15759312320916904,0.16058394160583941,0.15902578796561603,0.16058394160583941,0.15472779369627507
85.0,0.15902578796561603,0.16332378223495703,0.16496350364963502,0.16332378223495703,0.16496350364963502,0.16045845272206305
86.0,0.15759312320916904,0.16189111747851004,0.1635036496350365,0.16189111747851004,0.1635036496350365,0.16045845272206305
87.0,0.16905444126074498,0.16045845272206305,0.16204379562043797,0.166189111747851,0.1678832116788321,0.17048710601719197
88.0,0.16905444126074498,0.166189111747851,0.1678832116788321,0.166189111747851,0.1678832116788321,0.16905444126074498
89.0,0.17191977077363896,0.14326647564469913,0.14452554744525548,0.14613180515759314,0.14744525547445256,0.17048710601719197
90.0,0.1174785100286533,0.12034383954154727,0.12116788321167883,0.12034383954154727,0.12116788321167883,0.11891117478510028
91.0,0.13753581661891118,0.11174785100286533,0.11240875912408758,0.12320916905444126,0.12408759124087591,0.13753581661891118
92.0,0.1361031518624642,0.0673352435530086,0.06715328467153285,0.06876790830945559,0.06861313868613139,0.13896848137535817
93.0,0.05157593123209169,0.05300859598853868,0.052554744525547446,0.054441260744985676,0.05401459854014599,0.054441260744985676
94.0,0.04297994269340974,0.04871060171919771,0.04817518248175182,0.044412607449856735,0.043795620437956206,0.04727793696275072
95.0,0.14040114613180515,0.09598853868194843,0.09781021897810219,0.11604584527220631,0.11824817518248175,0.14040114613180515
96.0,0.1361031518624642,0.1332378223495702,0.13576642335766423,0.1332378223495702,0.13576642335766423,0.1346704871060172
97.0,0.17335243553008595,0.15472779369627507,0.15766423357664233,0.1518624641833811,0.15474452554744525,0.17765042979942694
98.0,0.16045845272206305,0.15759312320916904,0.16058394160583941,0.16045845272206305,0.1635036496350365,0.16475644699140402
99.0,0.2163323782234957,0.21203438395415472,0.21021897810218979,0.20916905444126074,0.2072992700729927,0.2191977077363897
100.0,0.2134670487106017,0.2134670487106017,0.2116788321167883,0.2148997134670487,0.21313868613138687,0.2177650429799427
101.0,0.2148997134670487,0.20773638968481375,0.20583941605839415,0.21060171919770773,0.20875912408759123,0.2191977077363897
102.0,0.19484240687679083,0.19627507163323782,0.19416058394160585,0.19627507163323782,0.19416058394160585,0.1991404011461318
103.0,0.1991404011461318,0.1991404011461318,0.19708029197080293,0.19340974212034384,0.19124087591240876,0.20057306590257878
104.0,0.1991404011461318,0.19340974212034384,0.19124087591240876,0.19627507163323782,0.19416058394160585,0.20057306590257878
105.0,0.1991404011461318,0.14183381088825214,0.1386861313868613,0.12464183381088825,0.12116788321167883,0.20057306590257878
106.0,0.1017191977077364,0.1017191977077364,0.09781021897810219,0.1017191977077364,0.09781021897810219,0.10458452722063037
107.0,0.10601719197707736,0.08166189111747851,0.07737226277372262,0.07736389684813753,0.072992700729927,0.11174785100286533
108.0,0.0673352435530086,0.06876790830945559,0.06423357664233577,0.0659025787965616,0.061313868613138686,0.0673352435530086
109.0,0.0673352435530086,0.014326647564469915,0.014598540145985401,0.017191977077363897,0.017518248175182483,0.0673352435530086
110.0,0.014326647564469915,0.014326647564469915,0.014598540145985401,0.017191977077363897,0.017518248175182483,0.014326647564469915
111.0,0.025787965616045846,0.02148997134670487,0.021897810218978103,0.022922636103151862,0.02335766423357664,0.025787965616045846
112.0,0.027220630372492838,0.024355300859598854,0.024817518248175182,0.025787965616045846,0.026277372262773723,0.027220630372492838
113.0,0.02865329512893983,0.025787965616045846,0.026277372262773723,0.02865329512893983,0.029197080291970802,0.02865329512893983
114.0,0.024355300859598854,0.027220630372492838,0.027737226277372264,0.02865329512893983,0.029197080291970802,0.025787965616045846
115.0,0.03868194842406877,0.03868194842406877,0.0364963503649635,0.03724928366762178,0.035036496350364967,0.03581661891117478
116.0,0.03868194842406877,0.04011461318051576,0.03795620437956204,0.03868194842406877,0.0364963503649635,0.03581661891117478
117.0,0.04297994269340974,0.04011461318051576,0.03795620437956204,0.04297994269340974,0.040875912408759124,0.04154727793696275
118.0,0.04011461318051576,0.05300859598853868,0.051094890510948905,0.044412607449856735,0.042335766423357665,0.03581661891117478
119.0,0.16045845272206305,0.07593123209169055,0.072992700729927,0.12750716332378223,0.12554744525547445,0.15472779369627507
120.0,0.16045845272206305,0.16045845272206305,0.15766423357664233,0.1504297994269341,0.14744525547445256,0.15472779369627507
121.0,0.15759312320916904,0.15329512893982808,0.15036496350364964,0.1504297994269341,0.14744525547445256,0.15472779369627507
122.0,0.14613180515759314,0.15329512893982808,0.15036496350364964,0.15902578796561603,0.15474452554744525,0.14326647564469913
123.0,0.2521489971346705,0.2177650429799427,0.21313868613138687,0.20057306590257878,0.19562043795620437,0.24785100286532952
124.0,0.2507163323782235,0.23065902578796563,0.22627737226277372,0.22922636103151864,0.22481751824817517,0.24641833810888253
125.0,0.2521489971346705,0.22779369627507162,0.22335766423357664,0.22492836676217765,0.22189781021897811,0.24785100286532952
126.0,0.23638968481375358,0.2349570200573066,0.23357664233576642,0.22779369627507162,0.22627737226277372,0.23638968481375358
127.0,0.25358166189111747,0.2349570200573066,0.23357664233576642,0.2349570200573066,0.23357664233576642,0.25358166189111747
128.0,0.2492836676217765,0.22636103151862463,0.22481751824817517,0.23782234957020057,0.2364963503649635,0.2492836676217765
129.0,0.24785100286532952,0.21060171919770773,0.21021897810218979,0.15472779369627507,0.15328467153284672,0.24785100286532952
130.0,0.12893982808022922,0.12750716332378223,0.12700729927007298,0.1332378223495702,0.13284671532846715,0.1303724928366762
131.0,0.1346704871060172,0.12177650429799428,0.12116788321167883,0.12464183381088825,0.12408759124087591,0.1361031518624642
132.0,0.1346704871060172,0.12320916905444126,0.12262773722627737,0.11604584527220631,0.11678832116788321,0.1346704871060172
133.0,0.1346704871060172,0.054441260744985676,0.05547445255474453,0.07306590257879657,0.07445255474452554,0.1346704871060172
134.0,0.025787965616045846,0.04011461318051576,0.040875912408759124,0.04011461318051576,0.040875912408759124,0.027220630372492838
135.0,0.025787965616045846,0.03868194842406877,0.03941605839416058,0.03724928366762178,0.03795620437956204,0.027220630372492838
136.0,0.025787965616045846,0.022922636103151862,0.02335766423357664,0.03151862464183381,0.032116788321167884,0.027220630372492838
137.0,0.025787965616045846,0.02005730659025788,0.020437956204379562,0.01862464183381089,0.01897810218978102,0.027220630372492838
138.0,0.008595988538681949,0.015759312320916905,0.016058394160583942,0.012893982808022923,0.013138686131386862,0.01002865329512894
139.0,0.01002865329512894,0.0071633237822349575,0.0072992700729927005,0.011461318051575931,0.01167883211678832,0.01002865329512894
140.0,0.01002865329512894,0.0071633237822349575,0.0072992700729927005,0.0071633237822349575,0.0072992700729927005,0.01002865329512894
141.0,0.008595988538681949,0.0071633237822349575,0.0072992700729927005,0.0057306590257879654,0.00583941605839416,0.008595988538681949
142.0,0.0028653295128939827,0.0028653295128939827,0.00291970802919708,0.0028653295128939827,0.00291970802919708,0.0028653295128939827
143.0,0.0028653295128939827,0.0028653295128939827,0.00291970802919708,0.0028653295128939827,0.00291970802919708,0.0028653295128939827
144.0,0.0028653295128939827,0.0028653295128939827,0.00291970802919708,0.0028653295128939827,0.00291970802919708,0.0028653295128939827
145.0,0.0028653295128939827,0.0028653295128939827,0.00291970802919708,0.0028653295128939827,0.00291970802919708,0.0028653295128939827
146.0,0.0028653295128939827,0.0014326647564469914,0.00145985401459854,0.0014326647564469914,0.00145985401459854,0.0028653295128939827
147.0,0.0014326647564469914,0.0014326647564469914,0.00145985401459854,0.0014326647564469914,0.00145985401459854,0.0014326647564469914
148.0,0.0071633237822349575,0.0,0.0,0.0,0.0,0.0014326647564469914
149.0,0.0071633237822349575,0.0,0.0,0.0,0.0,0.0014326647564469914
150.0,0.0057306590257879654,0.0,0.0,0.0,0.0,0.0
151.0,0.0057306590257879654,0.0,0.0,0.0,0.0,0.0
152.0,0.0057306590257879654,0.0,0.0,0.0,0.0,0.0
153.0,0.0057306590257879654,0.0028653295128939827,0.00291970802919708,0.0,0.0,0.0
154.0,0.0057306590257879654,0.0028653295128939827,0.00291970802919708,0.0,0.0,0.0
155.0,0.01002865329512894,0.0028653295128939827,0.00291970802919708,0.004297994269340974,0.004379562043795621,0.004297994269340974
156.0,0.01002865329512894,0.0028653295128939827,0.00291970802919708,0.004297994269340974,0.004379562043795621,0.0057306590257879654
157.0,0.01002865329512894,0.0028653295128939827,0.00291970802919708,0.0071633237822349575,0.0072992700729927005,0.0057306590257879654
158.0,0.01002865329512894,0.0071633237822349575,0.0072992700729927005,0.0071633237822349575,0.0072992700729927005,0.0057306590257879654
159.0,0.008595988538681949,0.008595988538681949,0.008759124087591242,0.008595988538681949,0.008759124087591242,0.01002865329512894
160.0,0.008595988538681949,0.008595988538681949,0.008759124087591242,0.008595988538681949,0.008759124087591242,0.01002865329512894
161.0,0.008595988538681949,0.008595988538681949,0.008759124087591242,0.008595988538681949,0.008759124087591242,0.01002865329512894
162.0,0.008595988538681949,0.014326647564469915,0.014598540145985401,0.011461318051575931,0.01167883211678832,0.01002865329512894
163.0,0.01862464183381089,0.012893982808022923,0.013138686131386862,0.017191977077363897,0.017518248175182483,0.02005730659025788
164.0,0.01862464183381089,0.017191977077363897,0.017518248175182483,0.02005730659025788,0.020437956204379562,0.02005730659025788
165.0,0.01862464183381089,0.01862464183381089,0.01897810218978102,0.02005730659025788,0.020437956204379562,0.02005730659025788
166.0,0.014326647564469915,0.01862464183381089,0.01897810218978102,0.01862464183381089,0.01897810218978102,0.015759312320916905
167.0,0.044412607449856735,0.05157593123209169,0.052554744525547446,0.0329512893982808,0.033576642335766425,0.044412607449856735
168.0,0.044412607449856735,0.05157593123209169,0.052554744525547446,0.044412607449856735,0.04525547445255475,0.044412607449856735
169.0,0.06017191977077364,0.05157593123209169,0.052554744525547446,0.05157593123209169,0.052554744525547446,0.06017191977077364
170.0,0.055873925501432664,0.06876790830945559,0.07007299270072993,0.06160458452722063,0.06277372262773723,0.055873925501432664
171.0,0.08022922636103152,0.07163323782234957,0.072992700729927,0.07879656160458452,0.08029197080291971,0.08022922636103152
172.0,0.10601719197707736,0.10315186246418338,0.10510948905109489,0.0988538681948424,0.10072992700729927,0.10601719197707736
173.0,0.10601719197707736,0.10458452722063037,0.10656934306569343,0.10028653295128939,0.10218978102189781,0.10601719197707736
174.0,0.09598853868194843,0.10458452722063037,0.10656934306569343,0.10458452722063037,0.10656934306569343,0.09598853868194843
175.0,0.1489971346704871,0.11891117478510028,0.12116788321167883,0.1346704871060172,0.13722627737226278,0.1489971346704871
176.0,0.1489971346704871,0.1361031518624642,0.1386861313868613,0.14040114613180515,0.14306569343065692,0.1489971346704871
177.0,0.1489971346704871,0.11174785100286533,0.11386861313868613,0.12607449856733524,0.12846715328467154,0.1489971346704871
178.0,0.11891117478510028,0.10744985673352435,0.10948905109489052,0.11461318051575932,0.11678832116788321,0.11891117478510028
179.0,0.11891117478510028,0.10601719197707736,0.10802919708029197,0.10744985673352435,0.10948905109489052,0.11891117478510028
180.0,0.10315186246418338,0.09025787965616046,0.09197080291970802,0.09742120343839542,0.09927007299270073,0.10315186246418338
181.0,0.10315186246418338,0.08739255014326648,0.08905109489051095,0.08022922636103152,0.08175182481751825,0.10315186246418338
182.0,0.07879656160458452,0.050143266475644696,0.051094890510948905,0.05730659025787966,0.058394160583941604,0.07879656160458452
183.0,0.05300859598853868,0.04727793696275072,0.04817518248175182,0.050143266475644696,0.051094890510948905,0.05300859598853868
184.0,0.05300859598853868,0.04297994269340974,0.043795620437956206,0.04297994269340974,0.043795620437956206,0.05300859598853868
185.0,0.05300859598853868,0.027220630372492838,0.027737226277372264,0.024355300859598854,0.024817518248175182,0.05300859598853868
186.0,0.0,0.01002865329512894,0.010218978102189781,0.004297994269340974,0.004379562043795621,0.0
187.0,0.0,0.0014326647564469914,0.00145985401459854,0.0014326647564469914,0.00145985401459854,0.0
188.0,0.0,0.0014326647564469914,0.00145985401459854,0.0014326647564469914,0.00145985401459854,0.0
189.0,0.0,0.0014326647564469914,0.00145985401459854,0.0,0.0,0.0
190.0,0.0,0.0,0.0,0.0,0.0,0.0
191.0,0.0,0.0,0.0,0.0,0.0,0.0
192.0,0.0,0.0,0.0,0.0014326647564469914,0.00145985401459854,0.0
193.0,0.0,0.0014326647564469914,0.00145985401459854,0.0014326647564469914,0.00145985401459854,0.0
194.0,0.0,0.0028653295128939827,0.00291970802919708,0.0014326647564469914,0.00145985401459854,0.0
195.0,0.02865329512893983,0.022922636103151862,0.02335766423357664,0.01002865329512894,0.010218978102189781,0.03008595988538682
196.0,0.02865329512893983,0.0329512893982808,0.033576642335766425,0.025787965616045846,0.026277372262773723,0.03151862464183381
197.0,0.03008595988538682,0.0329512893982808,0.033576642335766425,0.03151862464183381,0.032116788321167884,0.0329512893982808
198.0,0.03008595988538682,0.04011461318051576,0.040875912408759124,0.03581661891117478,0.0364963503649635,0.0329512893982808
199.0,0.08595988538681948,0.045845272206303724,0.04671532846715328,0.06017191977077364,0.059854014598540145,0.08595988538681948
200.0,0.08595988538681948,0.07736389684813753,0.07883211678832117,0.07879656160458452,0.07883211678832117,0.08595988538681948
201.0,0.08595988538681948,0.08022922636103152,0.08175182481751825,0.08882521489971347,0.08905109489051095,0.08595988538681948
202.0,0.08595988538681948,0.10315186246418338,0.10364963503649635,0.09312320916905444,0.09343065693430656,0.08595988538681948
203.0,0.11031518624641834,0.10744985673352435,0.10802919708029197,0.10315186246418338,0.10364963503649635,0.11031518624641834
204.0,0.11031518624641834,0.10888252148997135,0.10948905109489052,0.11174785100286533,0.11240875912408758,0.11031518624641834
205.0,0.11031518624641834,0.09312320916905444,0.09343065693430656,0.10458452722063037,0.10510948905109489,0.11031518624641834
206.0,0.08166189111747851,0.08166189111747851,0.08175182481751825,0.08882521489971347,0.08905109489051095,0.08022922636103152
207.0,0.08166189111747851,0.08166189111747851,0.08175182481751825,0.0830945558739255,0.08321167883211679,0.08022922636103152
208.0,0.08022922636103152,0.07593123209169055,0.07591240875912408,0.08022922636103152,0.08029197080291971,0.07879656160458452
209.0,0.08166189111747851,0.07020057306590258,0.07007299270072993,0.055873925501432664,0.05693430656934306,0.08022922636103152
210.0,0.025787965616045846,0.04011461318051576,0.03941605839416058,0.03868194842406877,0.03941605839416058,0.027220630372492838
211.0,0.025787965616045846,0.03724928366762178,0.0364963503649635,0.02865329512893983,0.029197080291970802,0.027220630372492838
212.0,0.025787965616045846,0.014326647564469915,0.014598540145985401,0.022922636103151862,0.02335766423357664,0.027220630372492838
213.0,0.025787965616045846,0.008595988538681949,0.008759124087591242,0.012893982808022923,0.013138686131386862,0.027220630372492838
214.0,0.0028653295128939827,0.0057306590257879654,0.00583941605839416,0.004297994269340974,0.004379562043795621,0.004297994269340974
215.0,0.0028653295128939827,0.004297994269340974,0.004379562043795621,0.004297994269340974,0.004379562043795621,0.004297994269340974
216.0,0.0028653295128939827,0.0028653295128939827,0.00291970802919708,0.0028653295128939827,0.00291970802919708,0.004297994269340974
217.0,0.0028653295128939827,0.0028653295128939827,0.00291970802919708,0.0028653295128939827,0.00291970802919708,0.004297994269340974
218.0,0.0028653295128939827,0.0014326647564469914,0.00145985401459854,0.0014326647564469914,0.00145985401459854,0.0028653295128939827
219.0,0.004297994269340974,0.0014326647564469914,0.00145985401459854,0.0014326647564469914,0.00145985401459854,0.0028653295128939827
220.0,0.0028653295128939827,0.0,0.0,0.0,0.0,0.0014326647564469914
221.0,0.0028653295128939827,0.0,0.0,0.0,0.0,0.0014326647564469914
222.0,0.0028653295128939827,0.0,0.0,0.0,0.0,0.0014326647564469914
223.0,0.0028653295128939827,0.0,0.0,0.0,0.0,0.0014326647564469914
224.0,0.0028653295128939827,0.0,0.0,0.0,0.0,0.0014326647564469914
225.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0
226.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0
227.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0
228.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0
229.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0
230.0,0.0,0.0,0.0,0.0,0.0,0.0
231.0,0.0,0.0,0.0,0.0,0.0,0.0
232.0,0.0,0.0,0.0,0.0,0.0,0.0
233.0,0.0,0.0,0.0,0.0,0.0,0.0
234.0,0.0,0.0,0.0,0.0,0.0,0.0
235.0,0.0,0.0,0.0,0.0,0.0,0.0
236.0,0.0,0.0,0.0,0.0,0.0,0.0
237.0,0.0,0.0,0.0,0.0,0.0,0.0
238.0,0.0,0.0,0.0,0.0,0.0,0.0
239.0,0.0,0.0,0.0,0.0,0.0,0.0
240.0,0.0,0.0,0.0,0.0,0.0,0.0
241.0,0.0,0.0,0.0,0.0,0.0,0.0
242.0,0.0,0.0,0.0,0.0,0.0,0.0
243.0,0.0,0.0,0.0,0.0,0.0,0.0
244.0,0.0,0.0,0.0,0.0,0.0,0.0
245.0,0.0,0.0,0.0,0.0,0.0,0.0
246.0,0.0,0.0,0.0,0.0,0.0,0.0
247.0,0.0,0.0,0.0,0.0,0.0,0.0
248.0,0.0,0.0,0.0,0.0,0.0,0.0
249.0,0.0,0.0,0.0,0.0,0.0,0.0
250.0,0.0,0.0,0.0,0.0,0.0,0.0
251.0,0.0,0.0,0.0,0.0,0.0,0.0
252.0,0.0,0.0,0.0,0.0,0.0,0.0
253.0,0.0,0.0,0.0,0.0,0.0,0.0
254.0,0.0,0.0,0.0,0.0,0.0,0.0
255.0,0.0,0.0,0.0,0.0,0.0,0.0
256.0,0.0,0.0,0.0,0.0,0.0,0.0
257.0,0.0,0.0,0.0,0.0,0.0,0.0
258.0,0.0,0.0,0.0,0.0,0.0,0.0
259.0,0.0,0.0,0.0,0.0,0.0,0.0
260.0,0.0,0.0,0.0,0.0,0.0,0.0
261.0,0.0,0.0,0.0,0.0,0.0,0.0
262.0,0.0,0.0,0.0,0.0,0.0,0.0
263.0,0.0,0.0,0.0,0.0,0.0,0.0
264.0,0.0,0.0,0.0,0.0,0.0,0.0
265.0,0.0,0.0,0.0,0.0,0.0,0.0
266.0,0.0,0.0,0.0,0.0,0.0,0.0
267.0,0.0,0.0,0.0,0.0,0.0,0.0
268.0,0.0,0.0,0.0,0.0,0.0,0.0
269.0,0.0,0.0,0.0,0.0,0.0,0.0
270.0,0.0,0.0,0.0,0.0,0.0,0.0
271.0,0.0,0.0,0.0,0.0,0.0,0.0
272.0,0.0,0.0,0.0,0.0,0.0,0.0
273.0,0.0,0.0,0.0,0.0,0.0,0.0
274.0,0.0,0.0,0.0,0.0,0.0,0.0
275.0,0.0,0.0,0.0,0.0,0.0,0.0
276.0,0.0,0.0,0.0,0.0,0.0,0.0
277.0,0.0,0.0,0.0,0.0,0.0,0.0
278.0,0.0,0.0,0.0,0.0,0.0,0.0
279.0,0.0,0.0,0.0,0.0,0.0,0.0
280.0,0.0,0.0,0.0,0.0,0.0,0.0
281.0,0.0,0.0,0.0,0.0,0.0,0.0
282.0,0.0,0.0,0.0,0.0,0.0,0.0
283.0,0.0,0.0,0.0,0.0,0.0,0.0
284.0,0.0,0.0,0.0,0.0,0.0,0.0
285.0,0.0,0.0,0.0,0.0,0.0,0.0
286.0,0.0,0.0,0.0,0.0,0.0,0.0
287.0,0.0,0.0,0.0,0.0,0.0,0.0
288.0,0.0,0.0,0.0,0.0,0.0,0.0
289.0,0.0,0.0,0.0,0.0,0.0,0.0
290.0,0.0,0.0,0.0,0.0,0.0,0.0
291.0,0.0,0.0,0.0,0.0,0.0,0.0
292.0,0.0,0.0,0.0,0.0,0.0,0.0
293.0,0.0,0.0,0.0,0.0,0.0,0.0
294.0,0.0,0.0,0.0,0.0,0.0,0.0
295.0,0.0,0.0,0.0,0.0,0.0,0.0
296.0,0.0,0.0,0.0,0.0,0.0,0.0
297.0,0.0,0.0,0.0,0.0,0.0,0.0
298.0,0.0,0.0,0.0,0.0,0.0,0.0
299.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,0.0,0.0,0.0,0.0,0.0,0.0
