T (BPM),schreiber2018/ismir2018
159.0,0.026509941227960486
160.0,0.027010128798299362
161.0,0.028135550831561836
162.0,0.02901087907965487
163.0,0.030011254220332625
164.0,0.02901087907965487
165.0,0.03076153557584094
166.0,0.02200825309491059
167.0,0.023758909591096663
168.0,0.014880580217581593
169.0,0.017631611854445416
170.0,0.017256471176691258
171.0,0.01700637739152182
172.0,0.018506940102538453
173.0,0.01700637739152182
174.0,0.016006002250844066
175.0,0.014630486432412155
176.0,0.013254970613980243
177.0,0.012629736151056645
178.0,0.01012879829936226
179.0,0.010503938977116418
180.0,0.0068775790921595595
181.0,0.007752907340252595
182.0,0.005877203951481806
183.0,0.006252344629235964
184.0,0.006252344629235964
185.0,0.005877203951481806
186.0,0.0066274853069901215
187.0,0.006252344629235964
188.0,0.0066274853069901215
189.0,0.0066274853069901215
190.0,0.007627860447667875
191.0,0.007627860447667875
192.0,0.006252344629235964
193.0,0.0067525321995748405
194.0,0.0036263598849568587
195.0,0.005627110166312367
196.0,0.005627110166312367
197.0,0.005001875703388771
198.0,0.004376641240465174
199.0,0.0041265474552957355
200.0,0.004501688133049893
201.0,0.003126172314617982
202.0,0.003126172314617982
203.0,0.003751406777541578
204.0,0.003251219207202701
205.0,0.003251219207202701
206.0,0.0012504689258471928
207.0,0.0012504689258471928
208.0,0.0011254220332624733
209.0,0.0011254220332624733
210.0,0.0010003751406777541
211.0,0.0007502813555083156
212.0,0.0007502813555083156
213.0,0.0007502813555083156
214.0,0.00012504689258471927
215.0,0.0003751406777541578
216.0,0.0003751406777541578
217.0,0.0003751406777541578
218.0,0.0003751406777541578
219.0,0.0003751406777541578
220.0,0.0003751406777541578
221.0,0.0003751406777541578
222.0,0.00025009378516943853
223.0,0.00025009378516943853
224.0,0.00025009378516943853
225.0,0.00025009378516943853
226.0,0.0
227.0,0.00012504689258471927
228.0,0.00012504689258471927
229.0,0.00012504689258471927
230.0,0.00012504689258471927
231.0,0.00012504689258471927
232.0,0.00012504689258471927
233.0,0.00012504689258471927
234.0,0.00012504689258471927
235.0,0.00012504689258471927
236.0,0.00012504689258471927
237.0,0.00012504689258471927
238.0,0.0
239.0,0.0
240.0,0.0
241.0,0.0
242.0,0.0
243.0,0.0
244.0,0.0
245.0,0.0
246.0,0.0
247.0,0.0
248.0,0.0
249.0,0.0
250.0,0.0
251.0,0.0
252.0,0.0
253.0,0.0
254.0,0.0
255.0,0.0
256.0,0.0
257.0,0.0
258.0,0.0
259.0,0.0
260.0,0.0
261.0,0.0
262.0,0.0
263.0,0.0
264.0,0.0
265.0,0.0
266.0,0.0
267.0,0.0
268.0,0.0
269.0,0.0
270.0,0.0
271.0,0.0
272.0,0.0
273.0,0.0
274.0,0.0
275.0,0.0
276.0,0.0
277.0,0.0
278.0,0.0
279.0,0.0
280.0,0.0
281.0,0.0
282.0,0.0
283.0,0.0
284.0,0.0
285.0,0.0
286.0,0.0
287.0,0.0
288.0,0.0
289.0,0.0
290.0,0.0
291.0,0.0
292.0,0.0
293.0,0.0
294.0,0.0
295.0,0.0
296.0,0.0
297.0,0.0
298.0,0.0
299.0,0.0
300.0,0.0
